year,    det/mc,                expt,              stream,                tier,files,events,size,TB,size/event,MB,,,,,,,,,,
ALL,        mc,                 ALL,                 ALL,                 ALL,"7,695,903.00","746,472,598.00","10,378.48",TB,13.903,MB,,,,,,,,,,
ALL,        mc,                 ALL,                out1,                 ALL,"7,401,346.00","305,040,088.00","10,301.45",TB,33.771,MB,,,,,,,,,,
ALL,  detector,                 ALL,                 ALL,                 ALL,"2,775,506.00","313,880,601.00","9,956.60",TB,31.721,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,                 ALL,                 ALL,"2,413,030.00","294,364,845.00","8,798.86",TB,29.891,MB,,,,,,,,,,
ALL,        mc,        protodune-sp,                 ALL,                 ALL,"4,569,076.00","74,322,629.00","6,693.57",TB,90.061,MB,,,,,,,,,,
ALL,        mc,        protodune-sp,                out1,                 ALL,"4,347,725.00","61,062,164.00","6,692.72",TB,109.605,MB,,,,,,,,,,
ALL,        mc,                 ALL,                 ALL,  full-reconstructed,"3,415,159.00","124,527,586.00","5,859.20",TB,47.051,MB,,,,,,,,,,
ALL,        mc,                 ALL,                out1,  full-reconstructed,"3,415,159.00","124,527,586.00","5,859.20",TB,47.051,MB,,,,,,,,,,
ALL,  detector,                 ALL,                 ALL,                 raw,"1,157,851.00","130,633,302.00","5,233.91",TB,40.066,MB,,,,,,,,,,
ALL,  detector,                 ALL,             cosmics,                 ALL,"1,415,895.00","99,897,440.00","4,141.32",TB,41.456,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,                 ALL,                 raw,"836,657.00","114,286,311.00","4,120.58",TB,36.055,MB,,,,,,,,,,
ALL,        mc,                 ALL,                 ALL,  detector-simulated,"1,777,015.00","28,176,350.00","4,046.16",TB,143.601,MB,,,,,,,,,,
ALL,        mc,                 ALL,                out1,  detector-simulated,"1,777,015.00","28,176,350.00","4,046.16",TB,143.601,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,             cosmics,                 ALL,"1,350,643.00","97,993,303.00","3,986.92",TB,40.686,MB,,,,,,,,,,
ALL,  detector,                 ALL,                 ALL,  full-reconstructed,"796,525.00","72,499,269.00","3,659.92",TB,50.482,MB,,,,,,,,,,
