,2021,2022,2022,2022,2023,2023
,Pledge (PB)  ,Pledge (PB) ,Disk Alloc (PB),Disk Used,Modified,Pledge
,,,,,Request,
BR,0.00,, , ,,
CA,,,0.05,0.05,,0.25
CH,0.20,0.20, , ,,0.2
CZ,0.30,1.00,1.13,0.51,,1.20
ES,0.50,0.72,0.72,0.01,,0.72
FR,0.50,0.50,0.50,0.13,,0.50
IN,0.75,0.75,0.10,0.00,,0.70
IT,, , , ,,
NL,1.90,1.90,1.90,0.42,,1.90
RU,,0.50,0.50,0.50,,0.70
UK,4.00,4.00,3.83,3.12,,4.00
US BNL,0.50,0.50,1.00,0.50,,1.00
US - other ,, , , ,,
,,,,,,
National,8.65,10.07,9.73,5.24,12.94,11.17
CERN,2.20,3.00,4.00,2.50,4.00,4.00
FNAL,2.20,7.60,8.86,8.85,8.86,8.86
Total,13.05,20.67,22.59,16.59,25.80,24.03
