,2021,2021,,2022,2022,2022,,2023,,,,,,
,Pledge (PB)  ,Disk Actual,,Pledge (PB) ,Disk Alloc (PB),Disk Used,,Request,,,,,,
BR,0.000,,,,NA,NA,,,,,,,,
CH,0.200,,,0.200,NA,NA,,,,,,,,
CZ,0.300,,,1.000,1.130,0.513,,,,,,,,
ES,0.500,,,0.720,0.720,0.005,,,,,,,,
FR,0.500,,,0.500,NA`,NA,,,,,,,,
IN,0.750,,,0.750,NA,NA,,,,,,,,
IT,,,, , , ,,,,,,,,
NL,1.900,,,1.800,1.010,0.417,,,,,,,,
RU,,,,0.500,NA,NA,,,,,,,,
UK,4.000,,,4.000,3.830,3.121,,,,,,,,
US BNL,0.500,,,0.500,NA,0.501,,,,,,,,
US - other ,,,, , , ,,,,,,,,
,,,,,,,,,,,,,,
Collab,8.650,,,9.970,6.690,4.557,,11.300,,,,,,
CERN,2.200,,,3.000,1.200,1.200,,3.300,,,,,,
FNAL,2.200,,,7.600,7.300,7.300,,7.100,,,,,,
TOTAL,21.700,,,30.540,21.880,17.614,,21.700,,,,,,
