RSE,Rucio Allocation (PB),Rucio Used (PB),percent full,Non Rucio (PB),Total Alloc
CA,,,,0.050,0.050
CERN\_EOS,4.000,2.500,63\%,,4.000
CZ\_PRAGUE,1.130,0.514,45\%,,1.130
ES\_DUNE\_ES\_PIC,0.719,0.005,1\%,,0.719
FR\_IN2P3,0.500,0.128,26\%,,0.500
IN\_TIFR,0.100,0.000,0\%,0.000,0.100
NL\_SURFSARA,0.900,0.001,0\%,,0.900
NL\_NIKHEF,1.010,0.417,41\%,,1.010
RU\_JINR,,, ,0.500,0.500
UK Total,3.828,3.121,82\%,,3.828
UK\_LANCASTER,0.549,0.503,92\%,,0.549
UK\_MANCHESTER,1.080,1.000,93\%,,1.080
UK\_QMUL,1.100,0.679,62\%,,1.100
UK\_RAL-PP,0.099,0.099,100\%,,0.099
UK\_RAL\_ECHO,1.000,0.840,84\%,,1.000
US\_BNL,1.000,0.501,50\%,,1.000
US\_FNAL,7.029,4.654,66\%,1.829,8.858
,,,,, 
National,9.237,4.687,2.448,0.500,9.687
CERN\_EOS,4.000,2.500,0.625,0.000,4.000
FNAL,7.029,4.654,0.662,1.829,8.858
Total,24.044,14.962,8.035,2.379,22.595
