    det/mc,                expt,              stream,                tier,size,TB,size/event,MB
        mc,        protodune-sp,                out1,  detector-simulated,3509,TB,238.798,MB
        mc,        protodune-sp,                out1,  full-reconstructed,3093,TB,177.222,MB
  detector,        protodune-sp,             cosmics,                 raw,2310,TB,51.446,MB
  detector,        protodune-sp,             physics,  full-reconstructed,2003,TB,66.363,MB
  detector,        protodune-sp,             cosmics,  full-reconstructed,1449,TB,45.856,MB
  detector,        protodune-sp,             physics,                 raw,864,TB,83.571,MB
  detector,        protodune-sp,                test,                 raw,780,TB,35.624,MB
  detector,        protodune-sp,             physics,   reco-recalibrated,360,TB,37.922,MB
  detector,        protodune-sp,                test,  full-reconstructed,151,TB,37.35,MB
  detector,        protodune-sp,         calibration,                 raw,137,TB,4.025,MB
  detector,        protodune-sp,             physics,   hit-reconstructed,127,TB,49.997,MB
  detector,        protodune-sp,             physics,         decoded-raw,125,TB,49.201,MB
  detector,        protodune-sp,             cosmics,   reco-recalibrated,107,TB,22.47,MB
  detector,        protodune-sp,             physics,        pandora\_info,75,TB,6.854,MB
        mc,        protodune-sp,                out1,        pandora\_info,57,TB,6.028,MB
  detector,        protodune-sp,             cosmics,   hit-reconstructed,42,TB,25.899,MB
  detector,        protodune-sp,               noise,         decoded-raw,40,TB,26.962,MB
  detector,        protodune-sp,             cosmics,         decoded-raw,40,TB,24.628,MB
  detector,        protodune-sp,             cosmics,        pandora\_info,39,TB,5.992,MB
  detector,        protodune-sp,               noise,                 raw,30,TB,30.649,MB
  detector,        protodune-sp,                test,   hit-reconstructed,24,TB,7.039,MB
  detector,        protodune-sp,                test,         decoded-raw,22,TB,7.092,MB
  detector,        protodune-sp,                out1,         decoded-raw,21,TB,45.891,MB
        mc,        protodune-sp,                out1,   reco-recalibrated,20,TB,351.699,MB
  detector,        protodune-sp,               noise,  full-reconstructed,16,TB,59.334,MB
  detector,        protodune-sp,               noise,   hit-reconstructed,15,TB,9.971,MB
        mc,        protodune-sp,                out1,          root-tuple,14,TB,0.733,MB
  detector,        protodune-sp,             physics,          root-tuple,6,TB,0.166,MB
