Country,RSE,Total Allocation(PB),Used(PB),Free(PB),Free(\%)
CERN,DUNE\_CERN\_EOS,1.230,0.720,0.464,41.5\%
CERN,CERN\_PDUNE\_EOS,3.010,1.500,1.300,48.9\%
CZ,PRAGUE,1.130,0.517,0.554,54.1\%
ES,DUNE\_ES\_PIC,0.720,0.492,0.207,31.6\%
FR,DUNE\_FR\_CCIN2P3\_XROOTD,0.013,0.000,0.012,100.0\%
NL,SURFSARA,0.025,0.007,0.017,72.7\%
NL,NIKHEF,0.991,0.422,0.517,57.4\%
UK,RAL\_ECHO,1.000,0.862,0.126,13.9\%
UK,RAL-PP,0.100,0.100,0.000,0.0\%
UK,QMUL,1.100,0.680,0.382,38.2\%
UK,MANCHESTER,1.080,1.000,0.042,4.3\%
UK,LIVERPOOL,0.001,0.001,0.000,22.9\%
UK,LANCASTER,0.550,0.515,0.032,6.3\%
US,DUNE\_US\_BNL\_SDCC,0.600,0.506,0.086,15.7\%
,,,,,
CERN,Total,4.240,2.220,1.764,41.6\%
CZ,Total,1.130,0.517,0.554,49.0\%
ES,Total,0.720,0.492,0.207,28.8\%
FR,Total,0.013,0.000,0.012,92.3\%
NL,Total,1.016,0.429,0.534,52.6\%
UK,Total,3.831,3.158,0.582,15.2\%
US,BNL,0.600,0.506,0.086,14.3\%
Total,National,7.310,5.102,1.975,27.0\%
