Country,RSE,Total Allocation,Used,Free,Free(%)
CERN,DUNE_CERN_EOS,1.23PB,719.6TB,464.2TB,41.50%
CERN,CERN_PDUNE_EOS,3.01PB,1.5PB,1.3PB,48.88%
CZ,PRAGUE,1.13PB,516.6TB,554.2TB,54.12%
ES,DUNE_ES_PIC,719.93TB,492.2TB,207.1TB,31.63%
FR,DUNE_FR_CCIN2P3_XROOTD,12.88TB,0B,11.7TB,100%
NL,SURFSARA,25.0TB,6.8TB,16.5TB,72.66%
NL,NIKHEF,990.66TB,421.9TB,517.3TB,57.41%
UK,RAL_ECHO,1.0PB,861.5TB,125.9TB,13.85%
UK,RAL-PP,99.58TB,99.6TB,976.6MB,0.00%
UK,QMUL,1.1PB,679.9TB,382TB,38.19%
UK,MANCHESTER,1.08PB,1PB,42TB,4.28%
UK,LIVERPOOL,1.1TB,847.7GB,234.5GB,22.91%
UK,LANCASTER,549.76TB,515TB,31.6TB,6.32%
US,DUNE_US_BNL_SDCC,600.0TB,505.7TB,85.7TB,15.71%
