Slot Walltime,2021,2022,2021,2022
BR,"163,492","115,875",0.16,0.14
CA,"53,973","293,841",0.05,0.35
CERN,"2,683,180","2,177,075",2.68,2.61
CH,"9,692","1,705",0.01,0.00
CZ,"1,117,106","572,803",1.12,0.69
ES,"414,536","890,537",0.41,1.07
FR,"299,641","352,015",0.30,0.42
IN,"695,956","921,499",0.70,1.11
NL,"1,838,396","2,479,794",1.84,2.98
RU,"73,560","283,430",0.07,0.34
UK,"8,299,968","6,654,509",8.30,7.99
US_Fermilab,"26,793,392","21,652,656",26.79,25.98
US_OSG,"5,194,297","2,586,132",5.19,3.10
Total,"47,637,189","38,981,873",47.64,46.78
