Slot Walltime,2018,2019,2020,2021,2022
US,0,"778,856.36","3,871,009.71","5,194,296.88","2,586,131.59"
UK,0,0,"241,230.66","8,299,968.15","6,654,508.99"
CERN,0,0,"210,256.80","2,683,179.84","2,177,075.16"
NL,0,0,150.154,"1,838,396.28","2,479,794.13"
CZ,0,0,"7,893.16","1,117,106.21","572,803.22"
ES,0,0,"5,196.88","414,536.20","890,537.42"
IN,0,0,0,"695,955.73","921,499.45"
FR,0,0,"10,937.47","299,641.14","352,015.41"
BR,0,0,"1,646.28","163,491.85","115,875.29"
RU,0,0,0,"73,559.80","283,430.09"
CA,0,0,0,"53,972.61","293,841.10"
CH,0,0,0,"9,692.30","1,705.24"
Fermilab,0,0,"1,304,272.06","26,793,391.61","21,652,655.72"
