 detector, datatype ,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
SP, Events,10.9,19.4,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP, Test,157,600,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP, Sim-Events,1.3,5,5,10,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDHD, Events,0,0,0,0,0,0,20,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDHD, Test,0,0,0,0,1000,1000,100,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDHD, Sim-Events,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
DP, Events,0,0.5,0.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP, Test,0,42,500,231,231,231,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP, Sim-Events,1.3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDVD, Events,0,0,0,0,0,0,5.1,20.4,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDVD, Test,0,0,0,0,1000,1000,1000,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDVD, Sim-Events,0,0,0,0,0,5.1,5.1,5.1,5.1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0
HD, Events,0,0,0,0,0,0,0,0,0,0,0,2.2,2.2,2.2,2.2,2.2,2.2,2.2,4.4,4.4,4.4,4.4,4.4
HD, Test,0,0,0,0,0,0,0,0,1000,2500,5000,6000,6000,6000,6000,6000,6000,6000,6000,1000,1000,1000,1000
HD, Sim-Events,0,0,0,0,0,15,15,15,15,15,30,30,30,30,30,30,30,30,30,30,30,30,30
VD, Events,0,0,0,0,0,0,0,0,0,0,0,1.1,2.2,2.2,2.2,2.2,2.2,2.2,4.4,4.4,4.4,4.4,4.4
VD, Test,0,0,0,0,0,0,0,0,1000,2500,5100,6100,6100,6100,6100,6100,6100,6100,6100,1100,1100,1100,1100
VD, Sim-Events,0,0,0,0,0,15,15,15,15,15,30,30,30,30,30,30,30,30,30,30,30,30,30
ND-SAND, Events,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15
ND-SAND, Test,0,0,0,0,0,0,200,200,200,200,1000,1000,1000,1000,500,500,500,500,500,500,500,500,500
ND-SAND, Sim-Events,0,0,0,0,0,0,1,1,5,5,5,20,30,60,60,60,60,60,60,60,60,60,60
ND-LAr+TMS, Events,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15
ND-LAr+TMS, Test,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,500,500,500,500,500,500,500,500
ND-LAr+TMS, Sim-Events,0,0,0,0,0,0,1,1,5,5,5,5,5,60,60,60,60,60,60,60,60,60,60
