detector,datatype,resource,location,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
SP,Events,dummy,ALL,10.9,19.4,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP,Test,dummy,ALL,157.0,600.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP,Sim-Events,dummy,ALL,1.3,5.0,5.0,10.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,Events,dummy,ALL,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,TP,dummy,ALL,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,Test,dummy,ALL,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,Sim-Events,dummy,ALL,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,Events,dummy,ALL,0.0,0.5,0.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,Test,dummy,ALL,0.0,42.0,500.0,231.0,231.0,231.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,Sim-Events,dummy,ALL,1.3,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,Events,dummy,ALL,0.0,0.0,0.0,0.0,0.0,0.0,5.1,20.4,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,TP,dummy,ALL,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,Test,dummy,ALL,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,Sim-Events,dummy,ALL,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD,Events,dummy,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.2,2.2,2.2,3.3,3.3,3.3,3.3,3.3
HD,TP,dummy,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
HD,Test,dummy,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
HD,Sim-Events,dummy,ALL,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
VD,Events,dummy,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.2,2.2,2.2,2.2,2.2,2.2,3.3,3.3,3.3,3.3,3.3
VD,TP,dummy,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0
VD,Test,dummy,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0
VD,Sim-Events,dummy,ALL,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
ND-SAND,Events,dummy,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
ND-SAND,Test,dummy,ALL,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,200.0,1000.0,1000.0,1000.0,1000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
ND-SAND,Sim-Events,dummy,ALL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,20.0,30.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
ND-LAr+TMS,Events,dummy,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
ND-LAr+TMS,Test,dummy,ALL,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
ND-LAr+TMS,Sim-Events,dummy,ALL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
