RSE,Allocation (TB),Used (TB),Free (TB),Free(%)
SURFSARA,755.8,5.241525539,750.5584745,0.9930649304854976
RAL_ECHO,1000,964.5941575,35.40584249,0.035405842
RAL-PP,625,116.403281,508.596719,0.8137547503874385
QMUL,1100,650.7966099,449.2033901,0.40836671824244364
PRAGUE,1125.899906842624,560.5305736,565.3693333,0.5021488409656261
NIKHEF,1142.883511,545.8244974,597.0590139,0.5224145838234272
MANCHESTER,1077.521395,1033.069092080918,44.45230314,0.041254219
LIVERPOOL,1.099511628,0.878261204,0.221250424,0.20122608802921604
LANCASTER,549.7558139,8.291852905,541.463961,0.984917207
DUNE_US_BNL_SDCC,830,12.89178432,817.1082157,0.9844677297375579
DUNE_UK_LANCASTER_CEPH,500,484.9140764,15.08592359,0.030171847
DUNE_IT_INFN_CNAF,300.0000011,0,300.0000011,1
DUNE_FR_CCIN2P3_XROOTD,12.88490189,0,12.88490189,1
DUNE_FR_CCIN2P3_DISK,536.870912,179.8045505,357.0663615,0.665087926
DUNE_ES_PIC,719.548756,192.4181184,527.1306376,0.7325850168798463
DUNE_CERN_EOS,1000,494.8134412,505.1865588,0.5051865588085931
CERN_PDUNE_EOS,3020.4,1625.938879,1394.461121,0.461680943
CERN_PDUNE_CASTOR,4706,5690.328,-984.328,-0.209164471
FNAL_DCACHE,8780,6200,0,0
DUNE_IN_TIFR,750,0,0,0
