,2021,2022,2022,2022,2023,2023,2024`,2024
Nation,Pledge (PB)  ,Pledge (PB) ,Disk Alloc (PB),Disk Used,Pledge (PB) ,Actual (PB),Standard,Modified
,,,,,Request,,Request,Request
BR,0,, , ,,,,
CA,,,0.05,0.05,,,,
CH,0.2,0.2, , ,,,,
CZ,0.3,1,1.13,0.51,,,,
ES,0.5,0.72,0.72,0.01,,,,
FR,0.5,0.5,0.5,0.13,,,,
IN,0.75,0.75,0.1,0,,,,
IT,, , , ,,,,
NL,1.9,1.9,1.9,0.42,,,,
RU,,0.5,0.5,0.5,,,,
UK,4,4,3.83,3.12,,,,
US BNL,0.5,0.5,1,0.5,,,,
US - other ,, , , ,,,,
,,,,,,,,
Global,8.65,10.07,9.73,5.24,15.4,,15.4,12.94
CERN,2.2,3,4,2.5,2.6,,2.6,4
FNAL,2.2,7.6,8.86,8.85,7.8,,7.8,8.86
Total,13.05,20.67,22.59,16.59,25.8,,25.8,25.8
