Country,Allocated (TB), used (TB),account lim (TB),rse usage (TB),percent used
 CERN,      4020,      2121,      3000,      1957,        53
   CZ,      1126,       561,      1000,       561,        50
   ES,       720,       192,      1000,       192,        27
   FR,       537,       180,       500,       180,        33
   IN,         0,         0,         0,         0,       299
   IT,       300,         0,       300,         0,         0
   NL,      1899,       551,      1750,       556,        29
   UK,      4303,      3250,      3950,      3149,        76
   US,     10680,      7023,     10680,      9592,        66
Total,     23584,     13878,     22180,     16187,        59
