                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                            BR,        26,         9,        36,         0,        36
                            CA,         7,        14,        21,         0,        21
                          CERN,        57,        83,       140,         0,       140
                            CH,         2,         0,         2,         0,         2
                            CZ,        51,        48,        99,         0,        99
                            ES,        19,        25,        45,         0,        45
                            FR,        34,        24,        59,         0,        59
                            IN,         5,        33,        38,         0,        38
                            IT,         0,         7,         7,         0,         7
                            NL,       110,        88,       199,         0,       199
                            RU,         4,        19,        24,         0,        24
                            UK,       287,       397,       684,         0,       684
                       US FNAL,       156,      2599,      2755,        89,      2844
                        US OSG,       214,        86,       301,         0,       301
                     undefined,         0,         8,         9,         0,         9
                         Total,       979,      3446,      4426,        89,      4515
