                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                       BR_CBPF,        26,         9,        36,         0,        36
                        CA_SFU,         0,         0,         0,         0,         0
                   CA_Victoria,         7,        13,        20,         0,        20
                          CERN,        57,        83,       140,         0,       140
                 CH_UNIBE-LHEP,         2,         0,         2,         0,         2
                        CZ_FZU,        51,        48,        99,         0,        99
                     ES_CIEMAT,         0,         2,         2,         0,         2
                        ES_PIC,        19,        23,        43,         0,        43
                    FR_CCIN2P3,        34,        24,        59,         0,        59
                       IN_TIFR,         5,        33,        38,         0,        38
                       IT_CNAF,         0,         7,         7,         0,         7
                     NL_NIKHEF,        34,        23,        57,         0,        57
                   NL_SURFsara,        76,        65,       141,         0,       141
                       RU_JINR,         4,        19,        24,         0,        24
                    UK_Bristol,         8,        33,        42,         0,        42
                     UK_Brunel,        13,        17,        30,         0,        30
                  UK_Edinburgh,        17,         5,        22,         0,        22
                   UK_Imperial,        17,        15,        33,         0,        33
                  UK_Lancaster,        18,        10,        28,         0,        28
                  UK_Liverpool,         9,         5,        14,         0,        14
                 UK_Manchester,        23,        81,       104,         0,       104
                     UK_Oxford,         7,        11,        19,         0,        19
                       UK_QMUL,        43,        13,        56,         0,        56
                    UK_RAL-PPD,        53,       100,       153,         0,       153
                  UK_RAL-Tier1,        63,        96,       159,         0,       159
                  UK_Sheffield,        11,         6,        18,         0,        18
                        US_BNL,        20,        11,        32,         0,        32
                    US_Caltech,         0,         0,         0,         0,         0
                   US_Colorado,        11,        27,        38,         0,        38
             US_FNAL-FermiGrid,       129,      1501,      1630,       706,      2337
                    US_FNAL-T1,         7,        13,        20,         0,        20
                  US_FermiGrid,        19,       425,       445,        44,       490
                   US_Michigan,         0,         0,         0,         0,         0
                      US_NERSC,       155,         0,       155,         0,       155
                   US_Nebraska,         0,         0,         0,         0,         0
                  US_NotreDame,         0,         1,         2,         0,         2
                      US_Omaha,         0,         0,         0,         0,         0
                 US_PuertoRico,         0,         1,         1,         0,         1
                     US_SU-ITS,         0,        15,        15,         0,        15
                       US_Swan,         0,         0,         0,         0,         0
                       US_UCSD,         1,         2,         4,         0,         4
                   US_UChicago,        22,        13,        36,         0,        36
                  US_UConn-HPC,         3,         2,         5,         0,         5
                        US_WSU,         0,         2,         2,         0,         2
                  US_Wisconsin,         0,         3,         4,         0,         4
                     undefined,         0,         8,         9,         0,         9
                         Total,       979,      2788,      3768,       751,      4520
