                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                       BR_CBPF,     0.001,     0.002,     0.004,     0.000,     0.004
                        CA_SFU,     0.000,     0.000,     0.000,     0.000,     0.000
                   CA_Victoria,     0.001,     0.004,     0.004,     0.000,     0.004
                          CERN,     0.023,     0.117,     0.141,     0.000,     0.141
                 CH_UNIBE-LHEP,     0.000,     0.000,     0.000,     0.000,     0.000
                        CZ_FZU,     0.040,     0.119,     0.159,     0.000,     0.159
                     ES_CIEMAT,     0.000,     0.002,     0.002,     0.000,     0.002
                        ES_PIC,     0.015,     0.026,     0.041,     0.000,     0.041
                    FR_CCIN2P3,     0.020,     0.019,     0.039,     0.000,     0.039
                       IN_TIFR,     0.000,     0.004,     0.004,     0.000,     0.004
                       IT_CNAF,     0.000,     0.050,     0.050,     0.000,     0.050
                     NL_NIKHEF,     0.001,     0.015,     0.016,     0.000,     0.016
                   NL_SURFsara,     0.007,     0.005,     0.012,     0.000,     0.012
                    UK_Bristol,     0.003,     0.052,     0.055,     0.000,     0.055
                     UK_Brunel,     0.005,     0.037,     0.042,     0.000,     0.042
                  UK_Edinburgh,     0.000,     0.002,     0.002,     0.000,     0.002
                   UK_Imperial,     0.002,     0.040,     0.042,     0.000,     0.042
                  UK_Lancaster,     0.001,     0.010,     0.011,     0.000,     0.011
                  UK_Liverpool,     0.000,     0.003,     0.003,     0.000,     0.003
                 UK_Manchester,     0.004,     0.078,     0.082,     0.000,     0.082
                     UK_Oxford,     0.001,     0.019,     0.020,     0.000,     0.020
                       UK_QMUL,     0.042,     0.004,     0.046,     0.000,     0.046
                    UK_RAL-PPD,     0.009,     0.088,     0.097,     0.000,     0.097
                  UK_RAL-Tier1,     0.000,     0.128,     0.128,     0.000,     0.128
                  UK_Sheffield,     0.001,     0.000,     0.001,     0.000,     0.001
                        US_BNL,     0.013,     0.035,     0.049,     0.000,     0.049
                   US_Colorado,     0.003,     0.068,     0.070,     0.000,     0.070
             US_FNAL-FermiGrid,     0.069,     2.190,     2.259,     0.000,     2.259
                    US_FNAL-T1,     0.001,     0.011,     0.013,     0.000,     0.013
                   US_Michigan,     0.000,     0.000,     0.000,     0.000,     0.000
                      US_NERSC,     1.618,     0.000,     1.618,     0.000,     1.618
                  US_NotreDame,     0.000,     0.001,     0.001,     0.000,     0.001
                 US_PuertoRico,     0.000,     0.003,     0.003,     0.000,     0.003
                     US_SU-ITS,     0.000,     0.013,     0.013,     0.000,     0.013
                       US_Swan,     0.000,     0.000,     0.000,     0.000,     0.000
                       US_UCSD,     0.001,     0.002,     0.003,     0.000,     0.003
                   US_UChicago,     0.003,     0.049,     0.052,     0.000,     0.052
                  US_UConn-HPC,     0.001,     0.004,     0.004,     0.000,     0.004
                        US_WSU,     0.000,     0.000,     0.000,     0.000,     0.000
                  US_Wisconsin,     0.000,     0.009,     0.009,     0.000,     0.009
                     undefined,     0.000,     0.005,     0.005,     0.000,     0.005
                         Total,     1.887,     3.213,     5.100,     0.000,     5.100
