                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                            BR,     0.001,     0.002,     0.003,     0.000,     0.003
                            CA,     0.000,     0.000,     0.001,     0.000,     0.001
                          CERN,     0.023,     0.104,     0.127,     0.000,     0.127
                            CZ,     0.005,     0.098,     0.103,     0.000,     0.103
                            ES,     0.006,     0.032,     0.038,     0.000,     0.038
                            FR,     0.007,     0.017,     0.024,     0.000,     0.024
                            IN,     0.000,     0.004,     0.005,     0.000,     0.005
                            IT,     0.000,     0.045,     0.045,     0.000,     0.045
                            NL,     0.000,     0.025,     0.026,     0.000,     0.026
                            UK,     0.030,     0.544,     0.574,     0.000,     0.574
                            US,     1.052,     2.361,     3.413,     0.000,     3.413
                     undefined,     0.000,     0.005,     0.005,     0.000,     0.005
                         Total,     1.124,     3.237,     4.361,     0.000,     4.361
