                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                       BR_CBPF,      2582,       879,      3461,         0,      3461
                        CA_SFU,        34,        60,        95,         0,        95
                   CA_Victoria,       703,      1303,      2006,         0,      2006
                          CERN,      5198,      6943,     12142,         0,     12142
                 CH_UNIBE-LHEP,       266,        21,       287,         0,       287
                        CZ_FZU,      4566,      3704,      8270,         0,      8270
                     ES_CIEMAT,         1,       199,       200,         0,       200
                        ES_PIC,      1774,      1962,      3737,         0,      3737
                    FR_CCIN2P3,      3174,      2201,      5376,         0,      5376
                       IN_TIFR,       525,      3181,      3707,         0,      3707
                       IT_CNAF,         0,       292,       292,         0,       292
                     NL_NIKHEF,      3280,      2047,      5327,         0,      5327
                   NL_SURFsara,      7293,      6266,     13560,         0,     13560
                       RU_JINR,       459,      1903,      2363,         0,      2363
                    UK_Bristol,       790,      2961,      3751,         0,      3751
                     UK_Brunel,      1221,      1385,      2606,         0,      2606
                  UK_Edinburgh,      1673,       483,      2157,         0,      2157
                   UK_Imperial,      1678,      1113,      2791,         0,      2791
                  UK_Lancaster,      1801,       811,      2613,         0,      2613
                  UK_Liverpool,       880,       452,      1333,         0,      1333
                 UK_Manchester,      2177,      6907,      9084,         0,      9084
                     UK_Oxford,       709,       932,      1642,         0,      1642
                       UK_QMUL,      3835,      1199,      5034,         0,      5034
                    UK_RAL-PPD,      5037,      8612,     13649,         0,     13649
                  UK_RAL-Tier1,      6131,      7642,     13774,         0,     13774
                  UK_Sheffield,      1090,       664,      1755,         0,      1755
                        US_BNL,      1868,       835,      2704,         0,      2704
                    US_Caltech,         0,        79,        80,         0,        80
                   US_Colorado,      1044,      2065,      3109,         0,      3109
             US_FNAL-FermiGrid,     11621,    187835,    199457,      4288,    203746
                    US_FNAL-T1,       664,      1208,      1872,         0,      1872
                  US_FermiGrid,      1924,     40986,     42910,      4330,     47241
                       US_MWT2,         0,         0,         0,         0,         0
                   US_Michigan,         1,        21,        22,         0,        22
                      US_NERSC,      2919,         0,      2919,         0,      2919
                   US_Nebraska,         0,        31,        32,         0,        32
                  US_NotreDame,        82,       182,       265,         0,       265
                      US_Omaha,         0,        17,        18,         0,        18
                 US_PuertoRico,        11,       155,       167,         0,       167
                     US_SU-ITS,         3,      1449,      1452,         0,      1452
                       US_Swan,         0,        11,        11,         0,        11
                       US_UCSD,        86,       257,       344,         0,       344
                   US_UChicago,      2092,       795,      2888,         0,      2888
                  US_UConn-HPC,       308,       224,       532,         0,       532
                        US_WSU,         0,       279,       279,         0,       279
                  US_Wisconsin,        50,       303,       353,         0,       353
                     undefined,        63,       808,       872,         0,       872
                         Total,         0,         0,         0,         0,         0
