Site,"Last used"
EDINBURGH,"4.2GB"
LIVERPOOL,"882.1GB"
MANCHESTER,"968.2TB"
PRAGUE,"514.1TB"
"CERN_PDUNE_EOS","1.2PB"
"DUNE_ES_PIC","4.8TB"
LANCASTER,"495.6TB"
NIKHEF,422TB
QMUL,"806.9TB"
"RAL-PP","100.5TB"
"RAL_ECHO","836.8TB"
"FNAL_DCACHE_STAGING","3.1kB"
IMPERIAL,0B
"CERN_PDUNE_EOS_VOLATILE",0B
"DUNE_CERN_EOS","632.3TB"
"DUNE_FR_CCIN2P3","10.3TB"
"DUNE_FR_CCIN2P3_DISK",128TB
"DUNE_IN_TIFR","73.7GB"
"DUNE_US_BNL_SDCC","500.1TB"
"DUNE_US_FNAL_DISK_STAGE","536.1TB"
"FNAL_DCACHE_PERSISTENT","4.5GB"
"FNAL_DCACHE_TEST","4.7GB"
"FNAL_SCRATCH_DCACHE","29.7kB"
RSE168B18D0B5E7495E824CB3F052A2DD11,0B
RSE18B1CBEAEA87491A8991B9BFDA941F23,0B
RSE2011ACB4E64443B0A2F447C6FDD630CF,0B
RSE36B9E63404E5454EAE7D0EE8080DDDC9,0B
RSE5222C7862BB943CBB554A5096C50D1CC,0B
RSE54641C1C61CB49DD8886294B9D951D86,0B
RSE6E295F84D6564DE0BEA4DE340031B0B8,0B
RSE84D799821C7A4E3CAD22B7ADD032987D,0B
RSEC4E54E82DCCE40E4BFBB05DFD09650C0,0B
RSEE9197616422541459DAFA2EC66702939,0B
"SCRATCH_DCACHE","1.1GB"
SURFSARA,"2.6TB"
"T3_US_NERSC","578.5GB"
