    det/mc	                expt	              stream	                tier	files	events	size	TB	size/event	MB
  detector	        protodune-sp	                out1	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-sp	               noise	                 raw	5694	971277	29.768	TB	30.649	MB
  detector	        protodune-sp	                test	                 raw	180917	21890766	779.847	TB	35.624	MB
  detector	        protodune-sp	             cosmics	                 raw	485295	44898790	2309.876	TB	51.446	MB
  detector	        protodune-sp	         calibration	                 raw	55201	33968921	136.728	TB	 4.025	MB
  detector	        protodune-sp	             physics	                 raw	107228	10342399	864.320	TB	83.571	MB
  detector	        protodune-sp	                out2	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-sp	            pedestal	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-sp	               study	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	                out1	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	               noise	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	                test	                 raw	75801	2087902	259.392	TB	124.236	MB
  detector	        protodune-dp	             cosmics	                 raw	40863	429822	140.308	TB	326.434	MB
  detector	        protodune-dp	         calibration	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	             physics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	                out2	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	            pedestal	                 raw	1086	16221	 3.456	TB	213.064	MB
  detector	        protodune-dp	               study	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	                out1	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	               noise	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	                test	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	             cosmics	                 raw	7330	964719	 3.339	TB	 3.461	MB
  detector	             iceberg	         calibration	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	             physics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	                out2	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	            pedestal	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	               study	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	                out1	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	               noise	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	                test	                 raw	6691	1125122	26.843	TB	23.858	MB
  detector	   vd-coldbox-bottom	             cosmics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	         calibration	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	             physics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	                out2	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	            pedestal	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	               study	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	                out1	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	               noise	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	                test	                 raw	19369	2087706	60.126	TB	28.800	MB
  detector	      vd-coldbox-top	             cosmics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	         calibration	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	             physics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	                out2	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	            pedestal	                 raw	44	3606	 0.104	TB	28.800	MB
  detector	      vd-coldbox-top	               study	                 raw	66961	4561025	225.415	TB	49.422	MB
  detector	          hd-coldbox	                out1	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	               noise	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	                test	                 raw	21153	1984997	79.891	TB	40.247	MB
  detector	          hd-coldbox	             cosmics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	         calibration	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	             physics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	                out2	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	            pedestal	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	               study	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	dc4-vd-coldbox-bottom	                out1	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	dc4-vd-coldbox-bottom	               noise	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	dc4-vd-coldbox-bottom	                test	                 raw	49327	3056585	211.359	TB	69.149	MB
  detector	dc4-vd-coldbox-bottom	             cosmics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	dc4-vd-coldbox-bottom	         calibration	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	dc4-vd-coldbox-bottom	             physics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	dc4-vd-coldbox-bottom	                out2	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	dc4-vd-coldbox-bottom	            pedestal	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	dc4-vd-coldbox-bottom	               study	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	  dc4-vd-coldbox-top	                out1	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	  dc4-vd-coldbox-top	               noise	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	  dc4-vd-coldbox-top	                test	                 raw	32516	0	102.972	TB	-1.000	MB
  detector	  dc4-vd-coldbox-top	             cosmics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	  dc4-vd-coldbox-top	         calibration	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	  dc4-vd-coldbox-top	             physics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	  dc4-vd-coldbox-top	                out2	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	  dc4-vd-coldbox-top	            pedestal	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	  dc4-vd-coldbox-top	               study	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-sp	                out1	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-sp	               noise	   hit-reconstructed	10474	1495686	14.913	TB	 9.971	MB
  detector	        protodune-sp	                test	   hit-reconstructed	12141	3387283	23.844	TB	 7.039	MB
  detector	        protodune-sp	             cosmics	   hit-reconstructed	15066	1610790	41.718	TB	25.899	MB
  detector	        protodune-sp	         calibration	   hit-reconstructed	2386	1490149	 4.043	TB	 2.713	MB
  detector	        protodune-sp	             physics	   hit-reconstructed	44283	2535322	126.759	TB	49.997	MB
  detector	        protodune-sp	                out2	   hit-reconstructed	2427	218373	 2.325	TB	10.647	MB
  detector	        protodune-sp	            pedestal	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-sp	               study	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	                out1	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	               noise	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
