Detectors,DataTypes,2022,2023,2024,2025,2026,2027,2028,2029,2030
SP,Raw-Data,0,0,0,0,0,0,0,0,0
SP,Reco-Sim,110,742,195,0,0,0,0,0,0
SP,Test,0,0,0,0,0,0,0,0,0
SP,Store-Total,110,742,195,0,0,0,0,0,0
DP,Raw-Data,0,0,0,0,0,0,0,0,0
DP,Reco-Sim,0,0,0,0,0,0,0,0,0
DP,Test,130,0,0,0,0,0,0,0,0
DP,Store-Total,130,0,0,0,0,0,0,0,0
PDHD,Raw-Data,0,0,2800,700,700,0,0,0,0
PDHD,Reco-Sim,0,0,583,1100,1100,1100,0,0,0
PDHD,TP,0,0,681,1000,0,0,0,0,0
PDHD,Test,8,143,91,0,0,0,0,0,0
PDHD,Store-Total,8,144,4155,2800,1800,1100,0,0,0
PDVD,Raw-Data,0,0,561,2244,561,0,0,0,0
PDVD,Reco-Sim,0,0,39,1122,1122,1122,0,0,0
PDVD,TP,0,0,0,1000,0,0,0,0,0
PDVD,Test,0,5,0,500,500,0,0,0,0
PDVD,Store-Total,0,5,600,4866,2183,1122,0,0,0
FDVD,Raw-Data,0,0,0,0,0,0,0,16036,14251
FDVD,Reco-Sim,1702,159,166,300,300,300,840,840,840
FDVD,TP,0,0,0,0,2100,3100,3100,2824,2510
FDVD,Test,0,0,0,0,1050,2600,2600,2369,2105
FDVD,Store-Total,1702,159,166,300,3450,6000,6540,22070,19706
FDHD,Raw-Data,0,0,0,0,0,0,0,3758,6680
FDHD,Reco-Sim,36,435,452,300,300,300,800,800,800
FDHD,TP,0,0,0,0,2000,3000,3000,2733,2429
FDHD,Test,0,0,0,0,1000,2500,2600,2277,2024
FDHD,Store-Total,36,435,452,300,3300,5800,6400,9569,11933
ND-SAND,Raw-Data,0,0,0,0,0,0,0,0,75
ND-SAND,Reco-Sim,0,0,0,25,125,125,125,500,750
ND-SAND,Test,0,0,200,200,200,200,1000,1000,1000
ND-SAND,Store-Total,0,0,200,225,325,325,1125,1500,1825
ND-LAr+TMS,Raw-Data,0,0,0,0,0,0,0,0,150
ND-LAr+TMS,Reco-Sim,0,0,0,50,250,250,250,250,250
ND-LAr+TMS,Test,0,1000,1000,1000,1000,1000,1000,1000,1000
ND-LAr+TMS,Store-Total,0,1000,1000,1050,1250,1250,1250,1250,1400
Store-Total,Raw-Data,0,0,3361,2944,1261,0,0,19794,21156
Store-Total,Reco-Sim,1849,1336,1438,2897,3197,3197,2015,2390,2640
Store-Total,TP,0,0,681,2000,4100,6100,6100,5558,4939
Store-Total,Test,138,1149,1291,1700,3750,6300,7200,6646,6129
Store-Total,Store-Total,1988,2486,6771,9541,12308,15597,15315,34390,34865
