Detectors,DataTypes,Units,2022,2023,2024,2025,2026,2027,2028,2029,2030
SP,Raw-Events,Million,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SP,Sim-Events,Million,0.50,3.38,0.89,0.00,0.00,0.00,0.00,0.00,0.00
DP,Raw-Events,Million,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DP,Sim-Events,Million,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PDHD,Raw-Events,Million,0.00,0.00,20.00,5.00,5.00,0.00,0.00,0.00,0.00
PDHD,Sim-Events,Million,0.00,0.00,2.65,5.00,5.00,5.00,0.00,0.00,0.00
PDVD,Raw-Events,Million,0.00,0.00,5.10,20.40,5.10,0.00,0.00,0.00,0.00
PDVD,Sim-Events,Million,0.00,0.00,0.18,5.10,5.10,5.10,0.00,0.00,0.00
FDVD,Raw-Events,Million,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,2.20
FDVD,Sim-Events,Million,85.12,7.95,8.32,15.00,15.00,15.00,42.00,42.00,42.00
FDHD,Raw-Events,Million,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,2.20
FDHD,Sim-Events,Million,1.83,21.76,22.63,15.00,15.00,15.00,40.00,40.00,40.00
ND-SAND,Raw-Events,Million,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00
ND-SAND,Sim-Events,Million,0.00,0.00,0.00,1.00,5.00,5.00,5.00,20.00,30.00
ND-LAr+TMS,Raw-Events,Million,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00
ND-LAr+TMS,Sim-Events,Million,0.00,0.00,0.00,1.00,5.00,5.00,5.00,5.00,5.00
