"MachineAttrGLIDEIN_DUNESite0: Descending","@timestamp per month",filters,"Sum of SlotHours"
"US_FermiGrid",1641016800000,Analysis,"765794.317425"
"US_FermiGrid",1641016800000,Production,"557070.0878055556"
"US_FermiGrid",1641016800000,MARS,"1678636.675"
"US_FermiGrid",1641016800000,Total,"3001501.0802305555"
"US_FermiGrid",1643695200000,Analysis,"1017173.6035743055"
"US_FermiGrid",1643695200000,Production,"206164.5532111111"
"US_FermiGrid",1643695200000,MARS,"786809.4605555555"
"US_FermiGrid",1643695200000,Total,"2010147.6173409722"
"US_FermiGrid",1646114400000,Analysis,"2736675.2920965278"
"US_FermiGrid",1646114400000,Production,"121280.00348333333"
"US_FermiGrid",1646114400000,MARS,"1009474.5197222222"
"US_FermiGrid",1646114400000,Total,"3867429.8153020833"
"US_FermiGrid",1648789200000,Analysis,"3991865.5624426394"
"US_FermiGrid",1648789200000,Production,"98554.37027777778"
"US_FermiGrid",1648789200000,MARS,"1152364.4266666668"
"US_FermiGrid",1648789200000,Total,"5242784.359387084"
"US_FermiGrid",1651381200000,Analysis,"1876135.6476866668"
"US_FermiGrid",1651381200000,Production,"27479.759305555555"
"US_FermiGrid",1651381200000,MARS,"860207.9913888889"
"US_FermiGrid",1651381200000,Total,"2763823.398381111"
"US_FermiGrid",1654059600000,Analysis,"1778048.3426080556"
"US_FermiGrid",1654059600000,Production,"275091.0699838889"
"US_FermiGrid",1654059600000,MARS,"2170497.623611111"
"US_FermiGrid",1654059600000,Total,"4223637.036203056"
"US_FermiGrid",1656651600000,Analysis,"2578710.331965556"
"US_FermiGrid",1656651600000,Production,"56057.164236111115"
"US_FermiGrid",1656651600000,MARS,"1851611.7158333333"
"US_FermiGrid",1656651600000,Total,"4486379.212035"
"US_FermiGrid",1659330000000,Analysis,"2430676.556337778"
"US_FermiGrid",1659330000000,Production,"1088746.8978033334"
"US_FermiGrid",1659330000000,MARS,"1413473.8808333334"
"US_FermiGrid",1659330000000,Total,"4932897.3349744445"
"US_FermiGrid",1662008400000,Analysis,"685698.4285813889"
"US_FermiGrid",1662008400000,Production,"118819.74448888887"
"US_FermiGrid",1662008400000,MARS,"2713242.7722222223"
"US_FermiGrid",1662008400000,Total,"3517760.9452925"
"US_FermiGrid",1664600400000,Analysis,"584675.20207375"
"US_FermiGrid",1664600400000,Production,"120266.29191222222"
"US_FermiGrid",1664600400000,MARS,"570900.4027822223"
"US_FermiGrid",1664600400000,Total,"1275841.8967681944"
"US_FermiGrid",1667278800000,Analysis,"837895.5533595834"
"US_FermiGrid",1667278800000,Production,"10718.812762222222"
"US_FermiGrid",1667278800000,MARS,"246303.41805555555"
"US_FermiGrid",1667278800000,Total,"1094917.784177361"
"US_FermiGrid",1669874400000,Analysis,"578913.2732347222"
"US_FermiGrid",1669874400000,Production,"246572.24892666665"
"US_FermiGrid",1669874400000,MARS,"212074.72472222222"
"US_FermiGrid",1669874400000,Total,"1037560.2468836112"
"US_FermiGrid",1672552800000,Analysis,"2218135.4271466667"
"US_FermiGrid",1672552800000,Production,"147524.96931944444"
"US_FermiGrid",1672552800000,MARS,"388349.3561111111"
"US_FermiGrid",1672552800000,Total,"2754009.7525772224"
"US_FermiGrid",1675231200000,Analysis,"1507917.688706528"
"US_FermiGrid",1675231200000,Production,"27418.88397777778"
"US_FermiGrid",1675231200000,MARS,"5318.190277777778"
"US_FermiGrid",1675231200000,Total,"1540654.7629620833"
"US_FNAL-FermiGrid",1675231200000,Analysis,"1604888.880597778"
"US_FNAL-FermiGrid",1675231200000,Production,"219.06671277777775"
"US_FNAL-FermiGrid",1675231200000,MARS,"389886.2627777778"
"US_FNAL-FermiGrid",1675231200000,Total,"1994994.2100883333"
"US_FNAL-FermiGrid",1677650400000,Analysis,"2341011.3959343056"
"US_FNAL-FermiGrid",1677650400000,Production,"22932.042094444445"
"US_FNAL-FermiGrid",1677650400000,MARS,0
"US_FNAL-FermiGrid",1677650400000,Total,"2363943.43802875"
"US_FNAL-FermiGrid",1680325200000,Analysis,"980260.5728963889"
"US_FNAL-FermiGrid",1680325200000,Production,"183581.18465277777"
"US_FNAL-FermiGrid",1680325200000,MARS,0
"US_FNAL-FermiGrid",1680325200000,Total,"1163841.7575491667"
"US_FNAL-FermiGrid",1682917200000,Analysis,"1526869.6915819445"
"US_FNAL-FermiGrid",1682917200000,Production,"105042.02100277778"
"US_FNAL-FermiGrid",1682917200000,MARS,0
"US_FNAL-FermiGrid",1682917200000,Total,"1631911.7125847223"
"US_FNAL-FermiGrid",1685595600000,Analysis,"1214226.6475461111"
"US_FNAL-FermiGrid",1685595600000,Production,"155046.53881944445"
"US_FNAL-FermiGrid",1685595600000,MARS,0
"US_FNAL-FermiGrid",1685595600000,Total,"1369273.1863655555"
"US_FNAL-FermiGrid",1688187600000,Analysis,"2628239.3648804165"
"US_FNAL-FermiGrid",1688187600000,Production,"120139.68744444444"
"US_FNAL-FermiGrid",1688187600000,MARS,0
"US_FNAL-FermiGrid",1688187600000,Total,"2748379.0523248613"
"US_FNAL-FermiGrid",1690866000000,Analysis,"3121392.220723056"
"US_FNAL-FermiGrid",1690866000000,Production,"465063.5736111111"
"US_FNAL-FermiGrid",1690866000000,MARS,0
"US_FNAL-FermiGrid",1690866000000,Total,"3586455.7943341667"
"US_FNAL-FermiGrid",1693544400000,Analysis,"1640361.9521052777"
"US_FNAL-FermiGrid",1693544400000,Production,0
"US_FNAL-FermiGrid",1693544400000,MARS,0
"US_FNAL-FermiGrid",1693544400000,Total,"1640361.9521052777"
"US_FNAL-FermiGrid",1696136400000,Analysis,"1206211.8808530555"
"US_FNAL-FermiGrid",1696136400000,Production,"3550.7340972222223"
"US_FNAL-FermiGrid",1696136400000,MARS,0
"US_FNAL-FermiGrid",1696136400000,Total,"1209762.6149502778"
"US_FNAL-FermiGrid",1698814800000,Analysis,"812523.4245040278"
"US_FNAL-FermiGrid",1698814800000,Production,"940.6975694444444"
"US_FNAL-FermiGrid",1698814800000,MARS,0
"US_FNAL-FermiGrid",1698814800000,Total,"813464.1220734722"
"NL_SURFsara",1641016800000,Analysis,"75731.60456"
"NL_SURFsara",1641016800000,Production,"411214.2870416666"
"NL_SURFsara",1641016800000,MARS,0
"NL_SURFsara",1641016800000,Total,"486945.89160166663"
"NL_SURFsara",1643695200000,Analysis,"52489.27903388889"
"NL_SURFsara",1643695200000,Production,"791.3944166666666"
"NL_SURFsara",1643695200000,MARS,0
"NL_SURFsara",1643695200000,Total,"53280.67345055555"
"NL_SURFsara",1646114400000,Analysis,"165525.28196958333"
"NL_SURFsara",1646114400000,Production,"73731.09555555556"
"NL_SURFsara",1646114400000,MARS,0
"NL_SURFsara",1646114400000,Total,"239256.37752513887"
"NL_SURFsara",1648789200000,Analysis,"75456.23322361111"
"NL_SURFsara",1648789200000,Production,"1636.7597916666666"
"NL_SURFsara",1648789200000,MARS,0
"NL_SURFsara",1648789200000,Total,"77092.99301527778"
"NL_SURFsara",1651381200000,Analysis,"74139.42857986111"
"NL_SURFsara",1651381200000,Production,"4021.5633333333335"
"NL_SURFsara",1651381200000,MARS,0
"NL_SURFsara",1651381200000,Total,"78160.99191319445"
"NL_SURFsara",1654059600000,Analysis,"167726.94406152779"
"NL_SURFsara",1654059600000,Production,"132479.26729166668"
"NL_SURFsara",1654059600000,MARS,0
"NL_SURFsara",1654059600000,Total,"300206.21135319443"
"NL_SURFsara",1656651600000,Analysis,"174233.82943986112"
"NL_SURFsara",1656651600000,Production,"24974.606069444446"
"NL_SURFsara",1656651600000,MARS,0
"NL_SURFsara",1656651600000,Total,"199208.43550930556"
"NL_SURFsara",1659330000000,Analysis,"131672.30146513888"
"NL_SURFsara",1659330000000,Production,"375779.01241666666"
"NL_SURFsara",1659330000000,MARS,0
"NL_SURFsara",1659330000000,Total,"507451.3138818056"
"NL_SURFsara",1662008400000,Analysis,"8511.927903611111"
"NL_SURFsara",1662008400000,Production,"6169.6565972222215"
"NL_SURFsara",1662008400000,MARS,0
"NL_SURFsara",1662008400000,Total,"14681.584500833334"
"NL_SURFsara",1664600400000,Analysis,"18229.453889166667"
