"MachineAttrGLIDEIN_DUNESite0: Descending","@timestamp per day",filters,"Sum of SlotHours"
"US_FNAL-FermiGrid","2023-12-10",Analysis,"19,020.443"
"US_FNAL-FermiGrid","2023-12-10",Production,0
"US_FNAL-FermiGrid","2023-12-10",MARS,0
"US_FNAL-FermiGrid","2023-12-10",Total,"19,020.443"
"US_FNAL-FermiGrid","2023-12-11",Analysis,"73,066.731"
"US_FNAL-FermiGrid","2023-12-11",Production,0
"US_FNAL-FermiGrid","2023-12-11",MARS,"0.195"
"US_FNAL-FermiGrid","2023-12-11",Total,"73,066.926"
"US_FNAL-FermiGrid","2023-12-12",Analysis,"28,361.948"
"US_FNAL-FermiGrid","2023-12-12",Production,"649.726"
"US_FNAL-FermiGrid","2023-12-12",MARS,"1,044.5"
"US_FNAL-FermiGrid","2023-12-12",Total,"30,056.174"
"US_FNAL-FermiGrid","2023-12-13",Analysis,"7,236.288"
"US_FNAL-FermiGrid","2023-12-13",Production,"5,971.432"
"US_FNAL-FermiGrid","2023-12-13",MARS,"48,580.458"
"US_FNAL-FermiGrid","2023-12-13",Total,"61,788.177"
"US_FNAL-FermiGrid","2023-12-14",Analysis,"70,665.084"
"US_FNAL-FermiGrid","2023-12-14",Production,"1,437.756"
"US_FNAL-FermiGrid","2023-12-14",MARS,"106,574.62"
"US_FNAL-FermiGrid","2023-12-14",Total,"178,677.46"
"US_FNAL-FermiGrid","2023-12-15",Analysis,"85,165.521"
"US_FNAL-FermiGrid","2023-12-15",Production,"5,188.518"
"US_FNAL-FermiGrid","2023-12-15",MARS,"98,324.688"
"US_FNAL-FermiGrid","2023-12-15",Total,"188,678.727"
"US_FNAL-FermiGrid","2023-12-16",Analysis,"6,861.408"
"US_FNAL-FermiGrid","2023-12-16",Production,"558.59"
"US_FNAL-FermiGrid","2023-12-16",MARS,"13,437.947"
"US_FNAL-FermiGrid","2023-12-16",Total,"20,857.945"
"US_FNAL-FermiGrid","2023-12-17",Analysis,"78.747"
"US_FNAL-FermiGrid","2023-12-17",Production,0
"US_FNAL-FermiGrid","2023-12-17",MARS,0
"US_FNAL-FermiGrid","2023-12-17",Total,"78.747"
"US_FNAL-FermiGrid","2023-12-18",Analysis,"96,790.372"
"US_FNAL-FermiGrid","2023-12-18",Production,0
"US_FNAL-FermiGrid","2023-12-18",MARS,"19,890.081"
"US_FNAL-FermiGrid","2023-12-18",Total,"116,680.453"
"US_FNAL-FermiGrid","2023-12-19",Analysis,"20,270.295"
"US_FNAL-FermiGrid","2023-12-19",Production,"1,229.948"
"US_FNAL-FermiGrid","2023-12-19",MARS,"34,253.677"
"US_FNAL-FermiGrid","2023-12-19",Total,"55,753.921"
"US_FNAL-FermiGrid","2023-12-20",Analysis,"3,100.574"
"US_FNAL-FermiGrid","2023-12-20",Production,"4,283.294"
"US_FNAL-FermiGrid","2023-12-20",MARS,"86,083.714"
"US_FNAL-FermiGrid","2023-12-20",Total,"93,467.582"
"US_FNAL-FermiGrid","2023-12-21",Analysis,"156.396"
"US_FNAL-FermiGrid","2023-12-21",Production,"11,263.836"
