                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                       BR_CBPF,         0,         0,         0,         0,         0
                        CA_SFU,         0,         0,         0,         0,         0
                   CA_Victoria,         0,         0,         0,         0,         0
                          CERN,         2,         5,         8,         0,         8
                        CZ_FZU,         0,         2,         2,         0,         2
                     ES_CIEMAT,         0,         0,         0,         0,         0
                        ES_PIC,         0,         1,         1,         0,         1
                    FR_CCIN2P3,         0,         1,         2,         0,         2
                       IN_TIFR,         0,         0,         0,         0,         0
                       IT_CNAF,         0,         3,         3,         0,         3
                     NL_NIKHEF,         0,         1,         1,         0,         1
                   NL_SURFsara,         0,         3,         3,         0,         3
                    UK_Bristol,         0,         0,         1,         0,         1
                     UK_Brunel,         0,         2,         3,         0,         3
                  UK_Edinburgh,         0,         0,         0,         0,         0
                   UK_Imperial,         0,         0,         1,         0,         1
                  UK_Lancaster,         0,         0,         0,         0,         0
                  UK_Liverpool,         0,         0,         0,         0,         0
                 UK_Manchester,         0,         6,         6,         0,         6
                     UK_Oxford,         0,         0,         1,         0,         1
                       UK_QMUL,         0,         0,         0,         0,         0
                    UK_RAL-PPD,         0,         9,        10,         0,        10
                  UK_RAL-Tier1,         0,        11,        11,         0,        11
                  UK_Sheffield,         0,         0,         0,         0,         0
                        US_BNL,         0,         1,         1,         0,         1
                   US_Colorado,         0,         1,         2,         0,         2
             US_FNAL-FermiGrid,         3,        87,        91,       125,       216
                    US_FNAL-T1,         0,         0,         1,         0,         1
                   US_Michigan,         0,         0,         0,         0,         0
                      US_NERSC,         0,         0,         0,         0,         0
                  US_NotreDame,         0,         0,         0,         0,         0
                 US_PuertoRico,         0,         0,         0,         0,         0
                     US_SU-ITS,         0,         0,         0,         0,         0
                       US_Swan,         0,         0,         0,         0,         0
                       US_UCSD,         0,         0,         0,         0,         0
                   US_UChicago,         0,         3,         4,         0,         4
                  US_UConn-HPC,         0,         0,         0,         0,         0
                        US_WSU,         0,         0,         0,         0,         0
                  US_Wisconsin,         0,         0,         0,         0,         0
                     undefined,         0,         0,         0,         0,         0
                         Total,        10,       152,       163,       125,       288
