                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                       BR_CBPF,     0.001,     0.002,     0.003,     0.000,     0.003
                        CA_SFU,     0.000,     0.000,     0.000,     0.000,     0.000
                   CA_Victoria,     0.000,     0.003,     0.003,     0.000,     0.003
                          CERN,     0.019,     0.093,     0.112,     0.000,     0.112
                 CH_UNIBE-LHEP,     0.000,     0.000,     0.000,     0.000,     0.000
                        CZ_FZU,     0.032,     0.095,     0.126,     0.000,     0.126
                     ES_CIEMAT,     0.000,     0.001,     0.001,     0.000,     0.001
                        ES_PIC,     0.012,     0.021,     0.033,     0.000,     0.033
                    FR_CCIN2P3,     0.016,     0.015,     0.031,     0.000,     0.031
                       IN_TIFR,     0.000,     0.003,     0.003,     0.000,     0.003
                       IT_CNAF,     0.000,     0.040,     0.040,     0.000,     0.040
                     NL_NIKHEF,     0.001,     0.012,     0.013,     0.000,     0.013
                   NL_SURFsara,     0.006,     0.004,     0.010,     0.000,     0.010
                    UK_Bristol,     0.002,     0.041,     0.044,     0.000,     0.044
                     UK_Brunel,     0.004,     0.029,     0.033,     0.000,     0.033
                  UK_Edinburgh,     0.000,     0.001,     0.001,     0.000,     0.001
                   UK_Imperial,     0.001,     0.032,     0.034,     0.000,     0.034
                  UK_Lancaster,     0.001,     0.008,     0.009,     0.000,     0.009
                  UK_Liverpool,     0.000,     0.002,     0.002,     0.000,     0.002
                 UK_Manchester,     0.003,     0.062,     0.065,     0.000,     0.065
                     UK_Oxford,     0.001,     0.015,     0.016,     0.000,     0.016
                       UK_QMUL,     0.033,     0.003,     0.036,     0.000,     0.036
                    UK_RAL-PPD,     0.007,     0.070,     0.077,     0.000,     0.077
                  UK_RAL-Tier1,     0.000,     0.102,     0.102,     0.000,     0.102
                  UK_Sheffield,     0.001,     0.000,     0.001,     0.000,     0.001
                        US_BNL,     0.011,     0.028,     0.039,     0.000,     0.039
                   US_Colorado,     0.002,     0.054,     0.056,     0.000,     0.056
             US_FNAL-FermiGrid,     0.055,     1.744,     1.799,     0.000,     1.799
                    US_FNAL-T1,     0.001,     0.009,     0.010,     0.000,     0.010
                   US_Michigan,     0.000,     0.000,     0.000,     0.000,     0.000
                      US_NERSC,     1.289,     0.000,     1.289,     0.000,     1.289
                  US_NotreDame,     0.000,     0.001,     0.001,     0.000,     0.001
                 US_PuertoRico,     0.000,     0.002,     0.002,     0.000,     0.002
                     US_SU-ITS,     0.000,     0.010,     0.010,     0.000,     0.010
                       US_Swan,     0.000,     0.000,     0.000,     0.000,     0.000
                       US_UCSD,     0.001,     0.002,     0.003,     0.000,     0.003
                   US_UChicago,     0.002,     0.039,     0.041,     0.000,     0.041
                  US_UConn-HPC,     0.000,     0.003,     0.003,     0.000,     0.003
                        US_WSU,     0.000,     0.000,     0.000,     0.000,     0.000
                  US_Wisconsin,     0.000,     0.007,     0.008,     0.000,     0.008
                     undefined,     0.000,     0.004,     0.004,     0.000,     0.004
                         Total,     1.503,     2.559,     4.062,     0.000,     4.062
