                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                            BR,         4,        25,        29,         0,        29
                            CA,         0,        21,        22,         0,        22
                          CERN,       286,       512,       799,         0,       799
                            CZ,        26,       212,       238,         0,       238
                            ES,         7,       123,       130,         0,       130
                            FR,         9,       187,       196,         0,       196
                            IN,         0,        20,        20,         0,        20
                            IT,         0,       321,       321,         0,       321
                            NL,        14,       411,       426,         0,       426
                            UK,       242,      3336,      3578,         0,      3578
                       US FNAL,       335,      8555,      8890,     12113,     21003
                   US non-FNAL,       107,       921,      1029,         0,      1029
                     undefined,         0,        34,        34,         0,        34
                         Total,      1034,     14684,     15718,     12113,     27832
