                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                       BR_CBPF,         4,        25,        29,         0,        29
                        CA_SFU,         0,        16,        16,         0,        16
                   CA_Victoria,         0,         5,         5,         0,         5
                          CERN,       286,       512,       799,         0,       799
                        CZ_FZU,        26,       212,       238,         0,       238
                     ES_CIEMAT,         0,         5,         5,         0,         5
                        ES_PIC,         7,       118,       125,         0,       125
                    FR_CCIN2P3,         9,       187,       196,         0,       196
                       IN_TIFR,         0,        20,        20,         0,        20
                       IT_CNAF,         0,       321,       321,         0,       321
                     NL_NIKHEF,        10,       119,       130,         0,       130
                   NL_SURFsara,         3,       292,       296,         0,       296
                    UK_Bristol,        28,        86,       114,         0,       114
                     UK_Brunel,        52,       273,       326,         0,       326
                  UK_Edinburgh,         1,        45,        46,         0,        46
                   UK_Imperial,        24,        87,       112,         0,       112
                  UK_Lancaster,         2,        56,        59,         0,        59
                  UK_Liverpool,         0,        39,        39,         0,        39
                 UK_Manchester,        18,       600,       619,         0,       619
                     UK_Oxford,        25,        93,       118,         0,       118
                       UK_QMUL,         6,        57,        63,         0,        63
                    UK_RAL-PPD,        80,       925,      1006,         0,      1006
                  UK_RAL-Tier1,         0,      1063,      1063,         0,      1063
                  UK_Sheffield,         1,         6,         8,         0,         8
                        US_BNL,         2,        99,       102,         0,       102
                   US_Colorado,        42,       192,       235,         0,       235
             US_FNAL-FermiGrid,       322,      8463,      8786,     12113,     20900
                    US_FNAL-T1,        12,        91,       103,         0,       103
                   US_Michigan,         0,         2,         2,         0,         2
                      US_NERSC,         0,         0,         0,         0,         0
                  US_NotreDame,         0,        10,        10,         0,        10
                 US_PuertoRico,         3,        19,        22,         0,        22
                     US_SU-ITS,         0,        90,        90,         0,        90
                       US_Swan,         0,         0,         0,         0,         0
                       US_UCSD,        21,        55,        77,         0,        77
                   US_UChicago,        22,       379,       402,         0,       402
                  US_UConn-HPC,        10,        34,        44,         0,        44
                        US_WSU,         0,         1,         1,         0,         1
                  US_Wisconsin,         3,        33,        37,         0,        37
                     undefined,         0,        34,        34,         0,        34
                         Total,      1034,     14684,     15718,     12113,     27832
