                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                       BR_CBPF,     0.077,     0.062,     0.139,     0.000,     0.139
                        CA_SFU,     0.000,     0.006,     0.006,     0.000,     0.006
                   CA_Victoria,     0.071,     0.264,     0.335,     0.000,     0.335
                          CERN,     1.157,     1.194,     2.351,     0.000,     2.351
                 CH_UNIBE-LHEP,     0.000,     0.002,     0.002,     0.000,     0.002
                        CZ_FZU,     0.238,     0.357,     0.595,     0.000,     0.595
                     ES_CIEMAT,     0.028,     0.029,     0.058,     0.000,     0.058
                        ES_PIC,     0.396,     0.564,     0.960,     0.000,     0.960
                    FR_CCIN2P3,     0.126,     0.330,     0.456,     0.000,     0.456
                       IN_TIFR,     0.307,     0.533,     0.840,     0.000,     0.840
                     NL_NIKHEF,     0.374,     0.328,     0.702,     0.000,     0.702
                   NL_SURFsara,     0.907,     1.240,     2.147,     0.000,     2.147
                       RU_JINR,     0.097,     0.313,     0.410,     0.000,     0.410
                    UK_Bristol,     0.210,     0.283,     0.493,     0.000,     0.493
                     UK_Brunel,     0.074,     0.071,     0.145,     0.000,     0.145
                  UK_Edinburgh,     0.038,     0.047,     0.085,     0.000,     0.085
                   UK_Imperial,     0.247,     0.300,     0.547,     0.000,     0.547
                  UK_Lancaster,     0.422,     0.241,     0.662,     0.000,     0.662
                  UK_Liverpool,     0.016,     0.041,     0.058,     0.000,     0.058
                 UK_Manchester,     0.436,     0.879,     1.315,     0.000,     1.315
                     UK_Oxford,     0.112,     0.105,     0.217,     0.000,     0.217
                       UK_QMUL,     0.271,     0.455,     0.726,     0.000,     0.726
                    UK_RAL-PPD,     0.462,     0.675,     1.137,     0.000,     1.137
                  UK_RAL-Tier1,     1.113,     1.048,     2.161,     0.000,     2.161
                  UK_Sheffield,     0.016,     0.027,     0.043,     0.000,     0.043
                        US_BNL,     0.219,     0.182,     0.401,     0.000,     0.401
                   US_Colorado,     0.038,     0.095,     0.134,     0.000,     0.134
                  US_FermiGrid,     2.976,    24.004,    26.979,    16.335,    43.314
                       US_MWT2,     0.000,     0.000,     0.000,     0.000,     0.000
                   US_Michigan,     0.000,     0.008,     0.008,     0.000,     0.008
                      US_NERSC,     0.004,     0.000,     0.004,     0.000,     0.004
                  US_NotreDame,     0.007,     0.012,     0.019,     0.000,     0.019
                 US_PuertoRico,     0.015,     0.022,     0.038,     0.000,     0.038
                     US_SU-ITS,     0.000,     0.106,     0.106,     0.000,     0.106
                       US_UCSD,     0.030,     0.036,     0.066,     0.000,     0.066
                   US_UChicago,     0.000,     0.010,     0.010,     0.000,     0.010
                        US_WSU,     0.001,     0.010,     0.011,     0.000,     0.011
                  US_Wisconsin,     0.000,     0.016,     0.016,     0.000,     0.016
                     undefined,     2.056,     0.329,     2.385,     0.000,     2.385
                         Total,    12.542,    34.226,    46.768,    16.335,    63.102
