                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                            BR,     0.295,     0.100,     0.395,     0.000,     0.395
                            CA,     0.084,     0.156,     0.240,     0.000,     0.240
                          CERN,     0.593,     0.793,     1.386,     0.000,     1.386
                            CH,     0.030,     0.002,     0.033,     0.000,     0.033
                            CZ,     0.521,     0.423,     0.944,     0.000,     0.944
                            ES,     0.203,     0.247,     0.450,     0.000,     0.450
                            FR,     0.362,     0.251,     0.614,     0.000,     0.614
                            IN,     0.060,     0.363,     0.423,     0.000,     0.423
                            IT,     0.000,     0.033,     0.033,     0.000,     0.033
                            NL,     1.207,     0.949,     2.156,     0.000,     2.156
                            RU,     0.052,     0.217,     0.270,     0.000,     0.270
                            UK,     3.085,     3.786,     6.872,     0.000,     6.872
                            US,     2.589,    27.025,    29.615,     0.984,    30.599
                     undefined,     0.007,     0.092,     0.100,     0.000,     0.100
                     undefined,     0.007,     0.092,     0.100,     0.000,     0.100
