   time in CoreYears by ByCountry     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR,      0.136,      0.027,      0.065,      0.248,      0.668,      0.874,      0.513,      1.969,      0.381,      0.028,      0.263,      0.606,     5.778
CA,      0.810,      5.918,      4.602,      0.130,      0.000,      3.026,      3.788,      2.955,      1.020,      0.631,      1.437,      1.083,    25.400
CERN,     10.002,     18.035,     13.020,      6.423,     11.386,     14.186,     11.397,     14.149,      4.653,      2.780,      6.922,      5.591,   118.545
CH,      0.055,      0.026,      0.112,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004,      0.009,     0.208
CZ,      5.454,      7.716,     10.402,      1.656,      0.090,      0.123,      8.552,      1.003,      0.005,      0.003,      0.644,      2.273,    37.922
ES,      4.410,      7.025,      6.518,      1.853,      6.448,      9.527,      9.453,      5.827,      2.307,      1.241,      1.953,      1.650,    58.213
FR,      1.487,      3.388,      2.998,      1.630,      6.124,      3.368,      3.208,      3.986,      1.556,      0.517,      1.767,      1.422,    31.451
IN,      6.989,      3.655,      6.944,      2.313,      2.589,      5.954,      6.662,     11.689,      1.411,      2.801,      1.822,      2.493,    55.322
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
NL,     10.714,      7.361,     20.363,     10.189,     13.910,     24.683,     23.922,     18.152,      1.345,      3.232,      7.918,     11.481,   153.268
RU,      0.631,      0.501,      0.136,      0.301,      6.866,      2.792,      1.591,      4.620,      3.091,      0.282,      4.683,      3.547,    29.041
UK,     22.063,     54.299,     34.135,     12.240,     27.874,     75.473,     53.893,     36.085,     12.333,     15.772,     29.011,     28.035,   401.213
US,     97.740,    127.179,    323.944,    459.082,    217.966,    206.147,    297.670,    279.866,     79.189,     67.327,     96.748,     70.247,  2323.105
undefined,      1.445,      2.649,      7.403,      2.867,      1.598,      3.115,      3.950,      1.987,      0.436,      1.763,      1.500,      2.615,    31.328
Total,    161.937,    237.780,    430.643,    498.934,    295.519,    349.269,    424.598,    382.288,    107.727,     96.376,    154.673,    131.050,  3270.793
