   time in MHr by ByCountry     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,Total
BR,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
CA,      0.000,      0.001,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
CERN,      0.002,      0.002,      0.002,      0.011,      0.004,      0.000,      0.000,      0.009,      0.001,      0.006,      0.000,      0.000,      0.001,      0.000,      0.002,      0.003,      0.000,      0.004,      0.002,      0.007,      0.000,      0.003,      0.006,      0.007,      0.002,      0.001,      0.004,      0.012,      0.000,      0.000,      0.000,      0.093
CH,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CZ,      0.000,      0.001,      0.008,      0.005,      0.001,      0.000,      0.000,      0.001,      0.000,      0.003,      0.000,      0.000,      0.000,      0.000,      0.004,      0.016,      0.000,      0.012,      0.005,      0.002,      0.004,      0.007,      0.013,      0.001,      0.000,      0.000,      0.004,      0.006,      0.000,      0.000,      0.000,      0.095
ES,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.001,      0.000,      0.009,      0.003,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.022
FR,      0.000,      0.001,      0.005,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.001,      0.000,      0.000,      0.001,      0.001,      0.001,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.015
IN,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.003
IT,      0.000,      0.001,      0.006,      0.005,      0.001,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.001,      0.000,      0.001,      0.002,      0.002,      0.001,      0.002,      0.001,      0.002,      0.001,      0.000,      0.003,      0.005,      0.000,      0.000,      0.000,      0.040
NL,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.004,      0.007,      0.000,      0.000,      0.000,      0.016
UK,      0.004,      0.006,      0.010,      0.012,      0.001,      0.000,      0.000,      0.013,      0.000,      0.001,      0.000,      0.000,      0.003,      0.001,      0.021,      0.010,      0.001,      0.011,      0.012,      0.005,      0.009,      0.018,      0.007,      0.019,      0.008,      0.001,      0.081,      0.110,      0.002,      0.000,      0.000,      0.366
US,      0.022,      0.038,      0.117,      0.130,      0.131,      0.008,      0.005,      0.038,      0.007,      0.023,      0.001,      0.004,      0.010,      0.012,      0.087,      0.166,      0.016,      0.105,      0.145,      0.039,      0.056,      0.085,      0.079,      0.078,      0.031,      0.056,      0.188,      0.200,      0.021,      0.000,      0.003,      1.900
undefined,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.004
Total,      0.029,      0.051,      0.151,      0.166,      0.138,      0.008,      0.005,      0.067,      0.008,      0.033,      0.001,      0.005,      0.014,      0.014,      0.117,      0.197,      0.018,      0.136,      0.168,      0.055,      0.071,      0.119,      0.108,      0.117,      0.046,      0.059,      0.288,      0.345,      0.023,      0.000,      0.003,      2.559
