   time in kHS23-Hrs by ByCountry     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR,         13,          2,          6,         23,         64,         84,         49,        189,         36,          2,         25,         58,        556
CA,         78,        570,        443,         12,          0,        291,        365,        284,         98,         60,        138,        104,       2447
CERN,        963,       1737,       1254,        618,       1097,       1366,       1098,       1363,        448,        267,        667,        538,      11422
CH,          5,          2,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20
CZ,        525,        743,       1002,        159,          8,         11,        824,         96,          0,          0,         62,        219,       3654
ES,        424,        676,        628,        178,        621,        918,        910,        561,        222,        119,        188,        158,       5609
FR,        143,        326,        288,        157,        590,        324,        309,        384,        149,         49,        170,        136,       3030
IN,        673,        352,        669,        222,        249,        573,        641,       1126,        135,        269,        175,        240,       5330
IT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
NL,       1032,        709,       1962,        981,       1340,       2378,       2305,       1749,        129,        311,        762,       1106,      14768
RU,         60,         48,         13,         28,        661,        269,        153,        445,        297,         27,        451,        341,       2798
UK,       2126,       5232,       3289,       1179,       2685,       7272,       5193,       3477,       1188,       1519,       2795,       2701,      38660
US,       9418,      12254,      31215,      44237,      21003,      19864,      28683,      26967,       7630,       6487,       9322,       6768,     223854
undefined,        139,        255,        713,        276,        153,        300,        380,        191,         41,        169,        144,        251,       3018
Total,  15604.210,  22912.445,  41496.754,  48077.238,  28476.216,  33655.561,  40914.286,  36837.258,  10380.581,   9286.835,  14904.296,  12627.947,     315173
