   time in kHS23-Hrs by ByCountry     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,Total
BR,          0,          2,          9,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,         14
CA,          3,          7,          7,          7,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,         28
CERN,         27,         19,         18,        115,         44,          0,          0,        102,          7,         70,          0,          0,          6,          5,        420
CH,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CZ,          1,         10,         87,         52,          7,          0,          0,         14,          5,         28,          0,          0,          1,          0,        212
ES,          3,          4,         13,          2,          2,          0,          0,          6,          0,          0,          0,          0,          0,          0,         34
FR,          0,         10,         49,          3,          1,          0,          0,          7,          0,          0,          0,          0,          0,          1,         75
IN,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
IT,          1,         13,         65,         58,          8,          0,          0,         21,          0,          0,          0,          0,          4,          1,        175
NL,          5,          3,         10,         18,          0,          0,          0,          8,          0,          0,          0,          0,          0,          0,         47
UK,         40,         69,        110,        134,          9,          3,          5,        148,          2,          9,          0,          4,         30,         11,        579
US,        240,        422,       1282,       1433,       1437,         86,         53,        417,         77,        247,         12,         49,        110,        129,       6000
undefined,          1,          2,         10,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         15
Total,        324,        566,       1664,       1828,       1513,         89,         59,        732,         92,        357,         13,         55,        155,        150,       7604
