   time in kHS23-Yrs by ByCountry     ,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,Total
BR,      0.001,      0.000,      0.001,      0.003,      0.007,      0.010,      0.006,      0.022,      0.004,      0.000,      0.003,      0.007,      0.040,      0.007,      0.008,      0.022,      0.005,      0.002,      0.002,      0.003,      0.000,      0.008,      0.003,      0.002,      0.000,      0.166
CA,      0.009,      0.065,      0.051,      0.001,      0.000,      0.033,      0.042,      0.033,      0.011,      0.007,      0.016,      0.012,      0.010,      0.004,      0.010,      0.025,      0.011,      0.002,      0.012,      0.009,      0.018,      0.043,      0.012,      0.000,      0.000,      0.435
CERN,      0.109,      0.198,      0.143,      0.071,      0.125,      0.156,      0.125,      0.156,      0.051,      0.031,      0.076,      0.062,      0.117,      0.048,      0.112,      0.166,      0.047,      0.015,      0.044,      0.046,      0.050,      0.085,      0.084,      0.107,      0.000,      2.224
CH,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.005
CZ,      0.060,      0.085,      0.114,      0.018,      0.001,      0.001,      0.094,      0.011,      0.000,      0.000,      0.007,      0.025,      0.098,      0.018,      0.026,      0.129,      0.040,      0.003,      0.010,      0.024,      0.017,      0.024,      0.039,      0.101,      0.000,      0.947
ES,      0.048,      0.077,      0.072,      0.020,      0.071,      0.105,      0.104,      0.064,      0.025,      0.014,      0.021,      0.018,      0.026,      0.012,      0.033,      0.065,      0.024,      0.002,      0.011,      0.030,      0.015,      0.020,      0.010,      0.033,      0.000,      0.921
FR,      0.016,      0.037,      0.033,      0.018,      0.067,      0.037,      0.035,      0.044,      0.017,      0.006,      0.019,      0.016,      0.059,      0.014,      0.024,      0.070,      0.014,      0.001,      0.006,      0.040,      0.004,      0.007,      0.012,      0.017,      0.000,      0.616
IN,      0.076,      0.040,      0.076,      0.025,      0.028,      0.065,      0.073,      0.129,      0.016,      0.031,      0.020,      0.027,      0.060,      0.000,      0.028,      0.172,      0.043,      0.000,      0.016,      0.007,      0.011,      0.013,      0.012,      0.004,      0.000,      0.976
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.034,      0.047,      0.000,      0.083
NL,      0.118,      0.081,      0.224,      0.112,      0.153,      0.272,      0.263,      0.200,      0.015,      0.036,      0.087,      0.126,      0.320,      0.034,      0.106,      0.274,      0.033,      0.008,      0.050,      0.007,      0.010,      0.068,      0.041,      0.025,      0.000,      2.661
RU,      0.007,      0.006,      0.001,      0.003,      0.076,      0.031,      0.018,      0.051,      0.034,      0.003,      0.052,      0.039,      0.032,      0.009,      0.039,      0.117,      0.014,      0.002,      0.005,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.537
UK,      0.242,      0.597,      0.375,      0.135,      0.307,      0.830,      0.593,      0.397,      0.136,      0.173,      0.319,      0.308,      0.783,      0.402,      0.331,      0.809,      0.173,      0.036,      0.390,      0.301,      0.189,      0.216,      0.178,      0.566,      0.001,      8.788
US,      1.070,      1.399,      3.563,      5.050,      2.398,      2.268,      3.274,      3.079,      0.871,      0.741,      1.064,      0.773,      2.859,      3.975,      3.022,      1.417,      2.007,      1.544,      3.354,      3.952,      2.104,      1.668,      1.229,      2.452,      0.006,     55.138
undefined,      0.016,      0.029,      0.081,      0.032,      0.018,      0.034,      0.043,      0.022,      0.005,      0.019,      0.017,      0.029,      0.031,      0.023,      0.002,      0.009,      0.001,      0.000,      0.000,      0.013,      0.003,      0.003,      0.008,      0.005,      0.000,      0.441
Total,      1.773,      2.616,      4.737,      5.488,      3.251,      3.842,      4.671,      4.205,      1.185,      1.060,      1.701,      1.442,      4.435,      4.546,      3.740,      3.277,      2.412,      1.615,      3.901,      4.431,      2.421,      2.159,      1.663,      3.359,      0.008,     73.938
