   time in kHS23-Yrs by ByCountry     ,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,Total
BR,      0.040,      0.007,      0.008,      0.022,      0.005,      0.002,      0.002,      0.003,      0.000,      0.008,      0.003,      0.002,      0.000,      0.102
CA,      0.010,      0.004,      0.010,      0.025,      0.011,      0.002,      0.012,      0.009,      0.018,      0.043,      0.012,      0.000,      0.000,      0.156
CERN,      0.117,      0.048,      0.112,      0.166,      0.047,      0.015,      0.044,      0.046,      0.050,      0.085,      0.084,      0.107,      0.000,      0.921
CH,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.003
CZ,      0.098,      0.018,      0.026,      0.129,      0.040,      0.003,      0.010,      0.024,      0.017,      0.024,      0.039,      0.101,      0.000,      0.530
ES,      0.026,      0.012,      0.033,      0.065,      0.024,      0.002,      0.011,      0.030,      0.015,      0.020,      0.010,      0.033,      0.000,      0.281
FR,      0.059,      0.014,      0.024,      0.070,      0.014,      0.001,      0.006,      0.040,      0.004,      0.007,      0.012,      0.017,      0.000,      0.270
IN,      0.060,      0.000,      0.028,      0.172,      0.043,      0.000,      0.016,      0.007,      0.011,      0.013,      0.012,      0.004,      0.000,      0.368
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.034,      0.047,      0.000,      0.083
NL,      0.320,      0.034,      0.106,      0.274,      0.033,      0.008,      0.050,      0.007,      0.010,      0.068,      0.041,      0.025,      0.000,      0.975
RU,      0.032,      0.009,      0.039,      0.117,      0.014,      0.002,      0.005,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.217
UK,      0.783,      0.402,      0.331,      0.809,      0.173,      0.036,      0.390,      0.301,      0.189,      0.216,      0.178,      0.566,      0.001,      4.375
US,      2.859,      3.975,      3.022,      1.417,      2.007,      1.544,      3.354,      3.952,      2.104,      1.668,      1.229,      2.452,      0.006,     29.589
undefined,      0.031,      0.023,      0.002,      0.009,      0.001,      0.000,      0.000,      0.013,      0.003,      0.003,      0.008,      0.005,      0.000,      0.097
Total,      4.435,      4.546,      3.740,      3.277,      2.412,      1.615,      3.901,      4.431,      2.421,      2.159,      1.663,      3.359,      0.008,     37.968
