   time in kHS23-Yrs by ByCountry     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,Total
BR,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
CA,      0.000,      0.001,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004
CERN,      0.003,      0.002,      0.002,      0.013,      0.005,      0.000,      0.000,      0.012,      0.001,      0.008,      0.000,      0.000,      0.001,      0.001,      0.003,      0.004,      0.000,      0.005,      0.002,      0.008,      0.000,      0.004,      0.008,      0.008,      0.003,      0.001,      0.005,      0.015,      0.000,      0.000,      0.000,      0.117
CH,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CZ,      0.000,      0.001,      0.010,      0.006,      0.001,      0.000,      0.000,      0.002,      0.001,      0.003,      0.000,      0.000,      0.000,      0.000,      0.005,      0.020,      0.000,      0.016,      0.007,      0.002,      0.005,      0.009,      0.016,      0.002,      0.000,      0.000,      0.005,      0.008,      0.000,      0.000,      0.000,      0.119
ES,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.001,      0.001,      0.011,      0.004,      0.000,      0.002,      0.002,      0.000,      0.000,      0.000,      0.028
FR,      0.000,      0.001,      0.006,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.001,      0.000,      0.001,      0.001,      0.001,      0.001,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.019
IN,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.003,      0.000,      0.000,      0.000,      0.004
IT,      0.000,      0.002,      0.007,      0.007,      0.001,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.003,      0.001,      0.000,      0.002,      0.003,      0.002,      0.001,      0.003,      0.002,      0.002,      0.001,      0.000,      0.004,      0.007,      0.000,      0.000,      0.000,      0.050
NL,      0.001,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.005,      0.008,      0.000,      0.000,      0.000,      0.020
UK,      0.005,      0.008,      0.013,      0.015,      0.001,      0.000,      0.001,      0.017,      0.000,      0.001,      0.000,      0.000,      0.004,      0.001,      0.026,      0.013,      0.001,      0.014,      0.015,      0.006,      0.011,      0.023,      0.009,      0.024,      0.010,      0.001,      0.102,      0.138,      0.002,      0.000,      0.000,      0.460
US,      0.027,      0.048,      0.146,      0.164,      0.164,      0.010,      0.006,      0.048,      0.009,      0.028,      0.001,      0.006,      0.013,      0.015,      0.109,      0.208,      0.021,      0.131,      0.182,      0.049,      0.070,      0.107,      0.099,      0.098,      0.039,      0.071,      0.236,      0.251,      0.026,      0.000,      0.004,      2.385
undefined,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.005
Total,      0.037,      0.065,      0.190,      0.209,      0.173,      0.010,      0.007,      0.084,      0.011,      0.041,      0.001,      0.006,      0.018,      0.017,      0.148,      0.247,      0.022,      0.171,      0.211,      0.069,      0.089,      0.149,      0.135,      0.147,      0.057,      0.073,      0.361,      0.434,      0.028,      0.000,      0.004,      3.213
