   time in kHS23-Yrs by ByCountry     ,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-20,2023-12-21,2023-12-22,2023-12-23,2023-12-24,2023-12-25,2023-12-26,2023-12-27,2023-12-28,2023-12-29,2023-12-30,2023-12-31,Total
BR,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
CA,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CERN,      0.000,      0.004,      0.000,      0.005,      0.002,      0.008,      0.000,      0.004,      0.008,      0.008,      0.003,      0.001,      0.005,      0.015,      0.000,      0.000,      0.004,      0.002,      0.000,      0.000,      0.002,      0.015,      0.007,      0.000,      0.000,      0.000,      0.005,      0.000,      0.000,      0.001,      0.104
CZ,      0.003,      0.020,      0.000,      0.016,      0.007,      0.002,      0.005,      0.009,      0.016,      0.002,      0.000,      0.000,      0.005,      0.008,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.003,      0.000,      0.000,      0.000,      0.098
ES,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.001,      0.001,      0.011,      0.004,      0.000,      0.002,      0.002,      0.000,      0.000,      0.005,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.032
FR,      0.000,      0.000,      0.000,      0.002,      0.001,      0.000,      0.001,      0.001,      0.001,      0.001,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.000,      0.005,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.017
IN,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.003,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004
IT,      0.001,      0.001,      0.000,      0.002,      0.003,      0.002,      0.001,      0.003,      0.002,      0.002,      0.001,      0.000,      0.004,      0.007,      0.000,      0.000,      0.003,      0.001,      0.000,      0.000,      0.002,      0.007,      0.003,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.045
NL,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.005,      0.008,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004,      0.003,      0.000,      0.000,      0.000,      0.004,      0.000,      0.000,      0.000,      0.025
UK,      0.006,      0.013,      0.001,      0.014,      0.015,      0.006,      0.011,      0.023,      0.009,      0.024,      0.010,      0.001,      0.102,      0.138,      0.002,      0.000,      0.023,      0.002,      0.000,      0.001,      0.005,      0.046,      0.058,      0.000,      0.000,      0.000,      0.031,      0.001,      0.001,      0.002,      0.544
US,      0.033,      0.208,      0.021,      0.131,      0.182,      0.049,      0.070,      0.107,      0.099,      0.098,      0.039,      0.071,      0.236,      0.251,      0.026,      0.000,      0.154,      0.069,      0.112,      0.127,      0.030,      0.099,      0.086,      0.000,      0.002,      0.001,      0.048,      0.002,      0.002,      0.007,      2.361
undefined,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.005
Total,      0.043,      0.247,      0.022,      0.171,      0.211,      0.069,      0.089,      0.149,      0.135,      0.147,      0.057,      0.073,      0.361,      0.434,      0.028,      0.000,      0.193,      0.075,      0.113,      0.128,      0.039,      0.178,      0.160,      0.000,      0.002,      0.001,      0.094,      0.003,      0.003,      0.011,      3.237
