   time in CoreYears by BySite     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR_CBPF,      0.136,      0.027,      0.065,      0.248,      0.668,      0.874,      0.513,      1.969,      0.381,      0.028,      0.263,      0.606,     5.778
CA_SFU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.440,      0.140,     0.580
CA_Victoria,      0.810,      5.918,      4.602,      0.130,      0.000,      3.026,      3.788,      2.955,      1.020,      0.630,      0.997,      0.943,    24.820
CERN,     10.002,     18.035,     13.020,      6.423,     11.386,     14.186,     11.397,     14.149,      4.653,      2.780,      6.922,      5.591,   118.545
CH_UNIBE-LHEP,      0.055,      0.026,      0.112,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004,      0.009,     0.208
CZ_FZU,      5.454,      7.716,     10.402,      1.656,      0.090,      0.123,      8.552,      1.003,      0.005,      0.003,      0.644,      2.273,    37.922
ES_CIEMAT,      0.893,      0.626,      0.000,      0.000,      0.000,      0.910,      0.357,      0.320,      0.231,      0.087,      0.013,      0.042,     3.478
ES_PIC,      3.518,      6.399,      6.518,      1.853,      6.448,      8.617,      9.096,      5.508,      2.076,      1.155,      1.940,      1.608,    54.735
FR_CCIN2P3,      1.487,      3.388,      2.998,      1.630,      6.124,      3.368,      3.208,      3.986,      1.556,      0.517,      1.767,      1.422,    31.451
IN_TIFR,      6.989,      3.655,      6.944,      2.313,      2.589,      5.954,      6.662,     11.689,      1.411,      2.801,      1.822,      2.493,    55.322
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
NL_NIKHEF,      2.069,      1.369,      1.467,      1.575,      5.446,      5.536,      4.032,      3.120,      0.373,      1.151,      2.754,      2.972,    31.865
NL_SURFsara,      8.645,      5.992,     18.896,      8.614,      8.463,     19.147,     19.890,     15.031,      0.972,      2.081,      5.164,      8.509,   121.403
RU_JINR,      0.631,      0.501,      0.136,      0.301,      6.866,      2.792,      1.591,      4.620,      3.091,      0.282,      4.683,      3.547,    29.041
