   time in MHr by BySite     ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
BR_CBPF,      0.002,      0.005,      0.031,      0.006,      0.007,      0.018,      0.004,      0.002,      0.002,      0.002,      0.000,      0.007,     0.086
CA_SFU,      0.004,      0.001,      0.003,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,     0.010
CA_Victoria,      0.009,      0.008,      0.005,      0.002,      0.008,      0.020,      0.009,      0.002,      0.009,      0.007,      0.015,      0.034,     0.126
CERN,      0.061,      0.049,      0.093,      0.038,      0.089,      0.132,      0.037,      0.012,      0.035,      0.037,      0.040,      0.068,     0.691
CH_UNIBE-LHEP,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,     0.002
CZ_FZU,      0.006,      0.020,      0.078,      0.014,      0.021,      0.103,      0.032,      0.002,      0.008,      0.019,      0.013,      0.019,     0.336
ES_CIEMAT,      0.000,      0.000,      0.000,      0.001,      0.002,      0.002,      0.004,      0.000,      0.000,      0.000,      0.000,      0.006,     0.017
ES_PIC,      0.017,      0.014,      0.020,      0.008,      0.024,      0.050,      0.015,      0.001,      0.008,      0.024,      0.012,      0.010,     0.204
FR_CCIN2P3,      0.015,      0.012,      0.047,      0.011,      0.019,      0.056,      0.011,      0.001,      0.005,      0.032,      0.003,      0.006,     0.219
IN_TIFR,      0.016,      0.022,      0.048,      0.000,      0.022,      0.137,      0.035,      0.000,      0.013,      0.006,      0.009,      0.010,     0.318
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,     0.002
NL_NIKHEF,      0.024,      0.026,      0.060,      0.006,      0.021,      0.049,      0.011,      0.003,      0.009,      0.003,      0.006,      0.014,     0.233
NL_SURFsara,      0.045,      0.075,      0.194,      0.021,      0.063,      0.169,      0.015,      0.003,      0.031,      0.002,      0.002,      0.040,     0.660
RU_JINR,      0.041,      0.031,      0.026,      0.007,      0.031,      0.093,      0.011,      0.001,      0.004,      0.000,      0.000,      0.000,     0.245
