   time in kHS23-Hrs by BySite     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,Total
BR_CBPF,          0,          2,          9,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,         14
CA_SFU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CA_Victoria,          3,          7,          7,          7,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,         28
CERN,         27,         19,         18,        115,         44,          0,          0,        102,          7,         70,          0,          0,          6,          5,        420
CH_UNIBE-LHEP,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CZ_FZU,          1,         10,         87,         52,          7,          0,          0,         14,          5,         28,          0,          0,          1,          0,        212
ES_CIEMAT,          0,          2,          5,          1,          1,          0,          0,          3,          0,          0,          0,          0,          0,          0,         14
ES_PIC,          3,          2,          7,          1,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,         19
FR_CCIN2P3,          0,         10,         49,          3,          1,          0,          0,          7,          0,          0,          0,          0,          0,          1,         75
IN_TIFR,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
IT_CNAF,          1,         13,         65,         58,          8,          0,          0,         21,          0,          0,          0,          0,          4,          1,        175
NL_NIKHEF,          2,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,          5
NL_SURFsara,          3,          3,         10,         18,          0,          0,          0,          6,          0,          0,          0,          0,          0,          0,         41
UK_Bristol,          5,         19,         61,         92,          8,          0,          0,          7,          0,          1,          0,          0,          1,          1,        199
UK_Brunel,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          2
UK_Edinburgh,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Imperial,          0,          7,         23,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,         34
UK_Lancaster,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Liverpool,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3
UK_Manchester,          3,          4,          2,          4,          0,          0,          0,          6,          0,          0,          0,          0,          7,          1,         31
UK_Oxford,          1,          0,         11,         14,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         29
UK_QMUL,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4
UK_RAL-PPD,          2,         11,          3,          4,          0,          0,          0,          0,          0,          0,          0,          1,         16,          7,         48
UK_RAL-Tier1,         25,         25,          6,         16,          0,          3,          5,        128,          1,          6,          0,          2,          4,          0,        224
UK_Sheffield,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_BNL,          0,          7,         36,          3,          0,          0,          0,          5,          0,          0,          0,          0,          3,          2,         60
US_Colorado,          2,          6,         35,         12,          5,          0,          4,          7,          0,          8,          2,          0,          3,          9,        101
US_FNAL-FermiGrid,        231,        365,       1119,       1388,       1423,         84,         44,        304,         57,        233,          6,         45,         90,        112,       5507
US_FNAL-T1,          2,          4,          5,          6,          1,          0,          0,          4,          3,          2,          0,          0,          0,          0,         32
US_Michigan,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_NERSC,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_NotreDame,          0,          0,          2,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,          6
US_PuertoRico,          0,          1,          3,          2,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          9
US_SU-ITS,          0,         10,         15,          3,          1,          0,          0,         62,         14,          0,          1,          2,          0,          0,        112
US_Swan,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1
US_UCSD,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          5
US_UChicago,          1,         10,         43,          8,          1,          0,          0,         16,          0,          0,          0,          0,          2,          3,         90
US_UConn-HPC,          0,          0,          0,          0,          1,          0,          3,          1,          0,          0,          0,          0,          0,          0,          9
US_WSU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Wisconsin,          0,         13,         20,          6,          0,          0,          1,          9,          0,          0,          0,          0,          8,          0,         63
undefined,          1,          2,         10,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         15
Total,        324,        566,       1664,       1828,       1513,         89,         59,        732,         92,        357,         13,         55,        155,        150,       7604
