   time in kHS23-Yrs by BySite     ,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,Total
BR_CBPF,      0.007,      0.040,      0.007,      0.008,      0.022,      0.005,      0.002,      0.002,      0.003,      0.000,      0.008,      0.002,      0.107
CA_SFU,      0.002,      0.004,      0.002,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.001,      0.000,      0.008
CA_Victoria,      0.010,      0.007,      0.002,      0.010,      0.025,      0.011,      0.002,      0.011,      0.009,      0.018,      0.042,      0.012,      0.159
CERN,      0.062,      0.117,      0.048,      0.112,      0.166,      0.047,      0.015,      0.044,      0.046,      0.050,      0.085,      0.063,      0.854
CH_UNIBE-LHEP,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.000,      0.003
CZ_FZU,      0.025,      0.098,      0.018,      0.026,      0.129,      0.040,      0.003,      0.010,      0.024,      0.017,      0.024,      0.033,      0.448
ES_CIEMAT,      0.000,      0.000,      0.002,      0.002,      0.003,      0.005,      0.001,      0.000,      0.000,      0.000,      0.007,      0.002,      0.023
ES_PIC,      0.018,      0.025,      0.011,      0.030,      0.062,      0.019,      0.001,      0.011,      0.030,      0.015,      0.013,      0.007,      0.242
FR_CCIN2P3,      0.016,      0.059,      0.014,      0.024,      0.070,      0.014,      0.001,      0.006,      0.040,      0.004,      0.007,      0.011,      0.267
IN_TIFR,      0.027,      0.060,      0.000,      0.028,      0.172,      0.043,      0.000,      0.016,      0.007,      0.011,      0.013,      0.012,      0.391
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.031,      0.033
NL_NIKHEF,      0.033,      0.076,      0.007,      0.027,      0.062,      0.014,      0.004,      0.011,      0.004,      0.008,      0.018,      0.004,      0.266
NL_SURFsara,      0.094,      0.244,      0.026,      0.079,      0.212,      0.019,      0.004,      0.039,      0.003,      0.003,      0.050,      0.037,      0.809
RU_JINR,      0.039,      0.032,      0.009,      0.039,      0.117,      0.014,      0.002,      0.005,      0.000,      0.000,      0.000,      0.000,      0.256
UK_Bristol,      0.022,      0.091,      0.048,      0.033,      0.060,      0.009,      0.002,      0.012,      0.014,      0.008,      0.030,      0.031,      0.360
UK_Brunel,      0.018,      0.037,      0.012,      0.013,      0.035,      0.009,      0.001,      0.009,      0.016,      0.011,      0.013,      0.003,      0.176
UK_Edinburgh,      0.006,      0.007,      0.002,      0.003,      0.012,      0.001,      0.000,      0.001,      0.019,      0.003,      0.006,      0.001,      0.061
UK_Imperial,      0.010,      0.028,      0.003,      0.007,      0.029,      0.011,      0.001,      0.019,      0.003,      0.004,      0.014,      0.007,      0.138
UK_Lancaster,      0.004,      0.019,      0.014,      0.012,      0.027,      0.003,      0.000,      0.007,      0.004,      0.006,      0.000,      0.000,      0.096
UK_Liverpool,      0.000,      0.000,      0.000,      0.000,      0.016,      0.007,      0.001,      0.009,      0.009,      0.004,      0.004,      0.002,      0.052
UK_Manchester,      0.065,      0.128,      0.148,      0.095,      0.235,      0.017,      0.000,      0.000,      0.007,      0.091,      0.033,      0.035,      0.854
UK_Oxford,      0.005,      0.023,      0.009,      0.010,      0.035,      0.006,      0.001,      0.002,      0.003,      0.002,      0.008,      0.007,      0.111
UK_QMUL,      0.037,      0.054,      0.009,      0.005,      0.000,      0.001,      0.002,      0.007,      0.047,      0.003,      0.006,      0.003,      0.174
UK_RAL-PPD,      0.039,      0.147,      0.082,      0.101,      0.257,      0.049,      0.008,      0.109,      0.038,      0.051,      0.098,      0.043,      1.022
UK_RAL-Tier1,      0.089,      0.244,      0.071,      0.052,      0.062,      0.053,      0.021,      0.212,      0.137,      0.000,      0.000,      0.022,      0.962
UK_Sheffield,      0.013,      0.006,      0.005,      0.000,      0.041,      0.007,      0.000,      0.005,      0.003,      0.004,      0.004,      0.002,      0.089
US_BNL,      0.007,      0.012,      0.003,      0.009,      0.025,      0.005,      0.002,      0.003,      0.002,      0.003,      0.022,      0.011,      0.103
US_Caltech,      0.000,      0.000,      0.001,      0.008,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.009
US_Colorado,      0.026,      0.036,      0.015,      0.027,      0.048,      0.013,      0.004,      0.021,      0.010,      0.009,      0.029,      0.023,      0.261
US_FNAL-FermiGrid,      0.000,      0.000,      2.015,      2.940,      1.231,      1.917,      1.525,      3.300,      3.920,      2.060,      1.515,      1.020,     21.442
US_FNAL-T1,      0.000,      0.000,      0.019,      0.012,      0.020,      0.011,      0.003,      0.010,      0.007,      0.015,      0.032,      0.008,      0.138
US_FermiGrid,      0.727,      2.785,      1.894,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      5.406
US_MWT2,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_Michigan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
US_NERSC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_Nebraska,      0.000,      0.000,      0.000,      0.000,      0.001,      0.003,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004
US_NotreDame,      0.000,      0.004,      0.004,      0.003,      0.002,      0.001,      0.001,      0.002,      0.000,      0.000,      0.001,      0.003,      0.021
US_Omaha,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
US_PuertoRico,      0.001,      0.005,      0.001,      0.002,      0.005,      0.001,      0.000,      0.000,      0.001,      0.001,      0.002,      0.001,      0.019
US_SU-ITS,      0.000,      0.002,      0.007,      0.008,      0.054,      0.040,      0.005,      0.003,      0.002,      0.002,      0.028,      0.015,      0.165
US_Swan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001
US_UCSD,      0.002,      0.005,      0.004,      0.004,      0.006,      0.001,      0.000,      0.002,      0.001,      0.002,      0.003,      0.002,      0.032
