   time in kHS23-Yrs by BySite     ,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-20,2023-12-21,2023-12-22,2023-12-23,2023-12-24,2023-12-25,2023-12-26,2023-12-27,2023-12-28,2023-12-29,2023-12-30,2023-12-31,Total
BR_CBPF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
CA_Victoria,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CERN,      0.000,      0.004,      0.000,      0.005,      0.002,      0.008,      0.000,      0.004,      0.008,      0.008,      0.003,      0.001,      0.005,      0.015,      0.000,      0.000,      0.004,      0.002,      0.000,      0.000,      0.002,      0.015,      0.007,      0.000,      0.000,      0.000,      0.005,      0.000,      0.000,      0.001,      0.104
CZ_FZU,      0.003,      0.020,      0.000,      0.016,      0.007,      0.002,      0.005,      0.009,      0.016,      0.002,      0.000,      0.000,      0.005,      0.008,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.003,      0.000,      0.000,      0.000,      0.098
ES_CIEMAT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
ES_PIC,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.001,      0.001,      0.011,      0.004,      0.000,      0.002,      0.002,      0.000,      0.000,      0.005,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.032
FR_CCIN2P3,      0.000,      0.000,      0.000,      0.002,      0.001,      0.000,      0.001,      0.001,      0.001,      0.001,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.000,      0.005,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.017
IN_TIFR,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.003,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004
IT_CNAF,      0.001,      0.001,      0.000,      0.002,      0.003,      0.002,      0.001,      0.003,      0.002,      0.002,      0.001,      0.000,      0.004,      0.007,      0.000,      0.000,      0.003,      0.001,      0.000,      0.000,      0.002,      0.007,      0.003,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.045
NL_NIKHEF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.005,      0.008,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004,      0.003,      0.000,      0.000,      0.000,      0.004,      0.000,      0.000,      0.000,      0.025
UK_Bristol,      0.003,      0.002,      0.000,      0.002,      0.006,      0.001,      0.000,      0.001,      0.000,      0.001,      0.000,      0.000,      0.003,      0.005,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.029
UK_Brunel,      0.002,      0.007,      0.000,      0.005,      0.005,      0.001,      0.000,      0.003,      0.003,      0.002,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.031
UK_Edinburgh,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
UK_Imperial,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.005,      0.005,      0.000,      0.008,      0.016,      0.001,      0.000,      0.004,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.043
UK_Lancaster,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004,      0.000,      0.000,      0.001,      0.003,      0.000,      0.000,      0.008,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.018
UK_Liverpool,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.005
UK_Manchester,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.023,      0.051,      0.000,      0.000,      0.003,      0.001,      0.000,      0.000,      0.002,      0.010,      0.013,      0.000,      0.000,      0.000,      0.007,      0.000,      0.000,      0.000,      0.110
UK_Oxford,      0.001,      0.001,      0.000,      0.001,      0.002,      0.002,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.002,      0.002,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.017
UK_QMUL,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.006
UK_RAL-PPD,      0.000,      0.001,      0.000,      0.003,      0.002,      0.001,      0.008,      0.007,      0.003,      0.009,      0.003,      0.000,      0.016,      0.024,      0.000,      0.000,      0.004,      0.000,      0.000,      0.000,      0.001,      0.007,      0.013,      0.000,      0.000,      0.000,      0.011,      0.000,      0.000,      0.000,      0.116
UK_RAL-Tier1,      0.000,      0.001,      0.000,      0.002,      0.000,      0.002,      0.001,      0.010,      0.001,      0.001,      0.000,      0.000,      0.047,      0.034,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.002,      0.024,      0.027,      0.000,      0.000,      0.000,      0.010,      0.001,      0.001,      0.002,      0.167
US_BNL,      0.001,      0.005,      0.000,      0.006,      0.004,      0.000,      0.001,      0.003,      0.004,      0.001,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.031
US_Colorado,      0.001,      0.007,      0.001,      0.010,      0.008,      0.004,      0.001,      0.004,      0.005,      0.001,      0.001,      0.000,      0.005,      0.007,      0.000,      0.000,      0.003,      0.000,      0.000,      0.000,      0.000,      0.003,      0.001,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.001,      0.064
US_FNAL-FermiGrid,      0.030,      0.190,      0.019,      0.111,      0.168,      0.042,      0.066,      0.096,      0.086,      0.092,      0.037,      0.070,      0.223,      0.230,      0.025,      0.000,      0.147,      0.068,      0.112,      0.127,      0.028,      0.081,      0.082,      0.000,      0.002,      0.001,      0.045,      0.002,      0.002,      0.005,      2.189
US_FNAL-T1,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.004,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.008
US_Michigan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_NERSC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_NotreDame,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_PuertoRico,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
US_SU-ITS,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_Swan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_UCSD,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
US_UChicago,      0.001,      0.005,      0.000,      0.004,      0.001,      0.001,      0.001,      0.004,      0.002,      0.002,      0.000,      0.000,      0.008,      0.008,      0.000,      0.000,      0.003,      0.000,      0.000,      0.000,      0.002,      0.014,      0.002,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.057
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
US_WSU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_Wisconsin,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
