   time in kHS23-Yrs by ByCountry     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CA,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CERN,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CH,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CZ,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
ES,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
FR,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
IN,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
NL,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
RU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
UK,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US,      2.108,      0.988,      1.268,      1.447,      1.080,      2.726,      2.325,      1.775,      3.407,      0.717,      0.309,      0.266,     18.416
undefined,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
Total,      2.108,      0.988,      1.268,      1.447,      1.080,      2.726,      2.325,      1.775,      3.407,      0.717,      0.309,      0.266,     18.416
