   time in kHS23-Hrs by BySite     ,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,Total
BR_CBPF,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CA_SFU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CA_Victoria,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CERN,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CH_UNIBE-LHEP,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CZ_FZU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
ES_CIEMAT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
ES_PIC,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
FR_CCIN2P3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
IN_TIFR,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
IT_CNAF,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
NL_NIKHEF,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
NL_SURFsara,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
RU_JINR,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Bristol,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Brunel,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Edinburgh,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Imperial,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Lancaster,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Liverpool,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Manchester,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Oxford,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_QMUL,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_RAL-PPD,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_RAL-Tier1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Sheffield,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_BNL,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Caltech,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Colorado,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_FNAL-FermiGrid,          0,          0,       4288,          0,          0,          0,          0,          0,          0,          0,          0,          0,       4288
US_FNAL-T1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_FermiGrid,       2332,       4271,         58,          0,          0,          0,          0,          0,          0,          0,          0,          0,       6663
US_MWT2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Michigan,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_NERSC,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Nebraska,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_NotreDame,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Omaha,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_PuertoRico,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_SU-ITS,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Swan,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_UCSD,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_UChicago,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_UConn-HPC,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_WSU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Wisconsin,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
undefined,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
Total,       2332,       4271,       4347,          0,          0,          0,          0,          0,          0,          0,          0,          0,      10951
