   time in kHS23-Yrs by BySite     ,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,Total
BR_CBPF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CA_SFU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CA_Victoria,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CERN,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CH_UNIBE-LHEP,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CZ_FZU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
ES_CIEMAT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
ES_PIC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
FR_CCIN2P3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
IN_TIFR,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
NL_NIKHEF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
NL_SURFsara,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
RU_JINR,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
UK_Bristol,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
UK_Brunel,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
UK_Edinburgh,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
UK_Imperial,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
UK_Lancaster,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
UK_Liverpool,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
UK_Manchester,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
UK_Oxford,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
UK_QMUL,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
UK_RAL-PPD,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
UK_RAL-Tier1,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
UK_Sheffield,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_BNL,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_Caltech,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_Colorado,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_FNAL-FermiGrid,      0.000,      0.490,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.490
US_FNAL-T1,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_FermiGrid,      0.488,      0.007,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.494
US_Michigan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_NERSC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_Nebraska,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_NotreDame,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_Omaha,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_PuertoRico,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_SU-ITS,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_Swan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_UCSD,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_UChicago,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
