   time in MHr by country      ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR,      0.013,      0.001,      0.001,      0.002,      0.006,      0.015,      0.006,      0.052,      0.013,      0.006,      0.002,      0.006,     0.123
CA,      0.037,      0.055,      0.040,      0.001,      0.000,      0.027,      0.038,      0.064,      0.015,      0.006,      0.015,      0.012,     0.309
CERN,      0.416,      0.216,      0.168,      0.063,      0.110,      0.176,      0.141,      0.723,      0.075,      0.059,      0.067,      0.074,     2.289
CH,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.002
CZ,      0.167,      0.082,      0.112,      0.015,      0.001,      0.002,      0.077,      0.114,      0.000,      0.000,      0.011,      0.058,     0.641
ES,      0.125,      0.084,      0.074,      0.018,      0.060,      0.136,      0.099,      0.233,      0.037,      0.016,      0.024,      0.029,     0.934
FR,      0.016,      0.030,      0.026,      0.015,      0.059,      0.051,      0.030,      0.093,      0.018,      0.005,      0.016,      0.020,     0.379
IN,      0.282,      0.048,      0.096,      0.032,      0.023,      0.088,      0.073,      0.221,      0.018,      0.030,      0.017,      0.022,     0.951
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
NL,      0.525,      0.092,      0.255,      0.092,      0.126,      0.399,      0.237,      0.621,      0.036,      0.035,      0.097,      0.281,     2.796
RU,      0.010,      0.020,      0.001,      0.003,      0.060,      0.043,      0.015,      0.062,      0.045,      0.004,      0.041,      0.032,     0.336
UK,      1.462,      0.837,      0.347,      0.166,      0.263,      1.154,      0.532,      1.288,      0.257,      0.216,      0.364,      0.620,     7.507
US,      1.673,      1.354,      3.005,      4.123,      1.938,      2.083,      2.670,      3.658,      0.815,      0.712,      0.866,      0.891,    23.788
undefined,      0.175,      0.204,      0.388,      1.042,      0.039,      0.032,      0.038,      0.087,      0.007,      0.017,      0.013,      0.030,     2.074
