   time in kHS23-Hrs by ByCountry     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,Total
BR,          0,          3,          9,          1,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,         16
CA,          3,          7,          7,          7,          2,          0,          0,          0,          0,          0,          0,          0,          1,          0,         30
CERN,         27,         21,         18,        115,         44,          0,          0,        102,         13,         70,          0,          0,         37,          8,        462
CH,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1
CZ,          1,         10,         87,         52,          7,          0,          0,         14,          7,         28,          0,          0,        120,         11,        344
ES,          3,          4,         13,          2,          2,          0,          0,          6,          0,          0,          0,          0,          6,          4,         44
FR,          0,         10,         49,          3,          1,          0,          0,          7,          0,          0,          0,          0,          0,         15,         91
IN,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
IT,          1,         13,         65,         58,          8,          0,          0,         21,          0,          0,          0,          0,          4,          1,        175
NL,          5,          4,         10,         19,          0,          0,          0,          8,          0,          0,          0,          0,         63,          1,        114
UK,         40,         71,        111,        135,          9,          3,          5,        148,          2,          9,          0,          4,        169,         36,        746
US,        326,        471,       1900,       2056,       2017,        287,         53,        417,        162,        247,         12,         50,        204,       1434,       9642
undefined,          1,          2,         10,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         15
Total,        410,        619,       2285,       2453,       2094,        291,         59,        732,        187,        357,         13,         58,        608,       1513,      11685
