   time in kHS23-Yrs by ByCountry     ,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-20,2023-12-21,2023-12-22,2023-12-23,2023-12-24,2023-12-25,2023-12-26,2023-12-27,2023-12-28,2023-12-29,2023-12-30,2023-12-31,Total
BR,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
CA,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001
CERN,      0.001,      0.007,      0.004,      0.005,      0.003,      0.010,      0.000,      0.004,      0.008,      0.008,      0.003,      0.004,      0.005,      0.015,      0.000,      0.000,      0.004,      0.002,      0.001,      0.005,      0.002,      0.017,      0.007,      0.000,      0.000,      0.000,      0.007,      0.000,      0.000,      0.002,      0.127
CZ,      0.004,      0.021,      0.001,      0.016,      0.007,      0.003,      0.005,      0.009,      0.016,      0.002,      0.000,      0.000,      0.005,      0.008,      0.000,      0.000,      0.002,      0.000,      0.000,      0.001,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.003,      0.000,      0.000,      0.000,      0.103
ES,      0.004,      0.002,      0.001,      0.001,      0.001,      0.000,      0.000,      0.001,      0.001,      0.011,      0.004,      0.000,      0.002,      0.002,      0.000,      0.000,      0.005,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.038
FR,      0.000,      0.003,      0.001,      0.002,      0.001,      0.001,      0.001,      0.001,      0.001,      0.001,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.000,      0.006,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.024
IN,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.003,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.005
IT,      0.001,      0.001,      0.000,      0.002,      0.003,      0.002,      0.001,      0.003,      0.002,      0.002,      0.001,      0.000,      0.004,      0.007,      0.000,      0.000,      0.003,      0.001,      0.000,      0.000,      0.002,      0.007,      0.003,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.045
NL,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.005,      0.008,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004,      0.003,      0.000,      0.000,      0.000,      0.004,      0.000,      0.000,      0.000,      0.026
UK,      0.014,      0.021,      0.005,      0.014,      0.016,      0.009,      0.011,      0.023,      0.009,      0.024,      0.010,      0.002,      0.102,      0.139,      0.002,      0.000,      0.023,      0.002,      0.001,      0.004,      0.005,      0.047,      0.058,      0.000,      0.000,      0.000,      0.031,      0.001,      0.001,      0.002,      0.574
US,      0.041,      0.527,      0.186,      0.195,      0.231,      0.328,      0.186,      0.107,      0.099,      0.098,      0.040,      0.079,      0.239,      0.260,      0.027,      0.000,      0.154,      0.071,      0.118,      0.144,      0.031,      0.100,      0.086,      0.000,      0.002,      0.001,      0.051,      0.002,      0.002,      0.008,      3.413
undefined,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.005
Total,      0.064,      0.583,      0.198,      0.235,      0.262,      0.353,      0.205,      0.149,      0.136,      0.147,      0.058,      0.085,      0.365,      0.444,      0.029,      0.000,      0.193,      0.077,      0.119,      0.154,      0.040,      0.182,      0.160,      0.000,      0.002,      0.002,      0.100,      0.003,      0.003,      0.012,      4.361
