   time in CoreYears by BySite     ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
BR_CBPF,      0.270,      0.665,      4.841,      0.849,      0.993,      7.298,      1.839,      4.168,      7.043,      7.764,      0.000,      0.785,    36.516
CA_SFU,      0.440,      0.146,      0.515,      0.202,      0.000,      0.000,      0.000,      0.013,      0.169,      0.000,      0.001,      0.063,     1.548
CA_Victoria,      1.216,      1.206,      0.611,      0.252,      0.913,      2.261,      1.020,      0.189,      1.027,      2.864,      6.356,      4.280,    22.195
CERN,      7.633,      8.475,     13.145,      4.449,     10.228,     15.300,      4.284,      2.399,      9.420,     38.103,     13.784,      7.862,   135.081
CH_UNIBE-LHEP,      0.005,      0.030,      1.310,      0.004,      0.010,      0.012,      0.012,      0.003,      0.243,      1.210,      0.009,      0.164,     3.012
CZ_FZU,      1.269,      6.651,     11.294,      1.723,      2.356,     11.776,      3.672,      0.274,      3.147,     43.455,      2.170,      2.870,    90.657
ES_CIEMAT,      0.020,      0.043,      0.045,      0.168,      0.205,      0.267,      0.411,      0.053,      0.019,      0.037,      0.027,      0.641,     1.936
ES_PIC,      2.771,      3.263,      2.614,      0.988,      2.780,      5.724,      1.762,      0.199,      1.622,     12.450,      8.465,      1.297,    43.935
FR_CCIN2P3,      1.847,      2.256,      7.539,      1.491,      2.232,      7.010,      1.363,      0.223,      4.203,     24.764,      5.178,      0.710,    58.818
IN_TIFR,      1.947,      2.558,      5.605,      0.000,      2.556,     15.648,      3.951,      0.000,      2.586,      4.747,      1.127,      1.174,    41.899
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.183,     0.183
NL_NIKHEF,      4.505,     13.553,     12.073,      0.687,      2.451,      5.695,      1.315,      0.405,      5.701,     20.288,      4.272,      1.833,    72.778
NL_SURFsara,      6.565,     18.505,     27.460,      2.380,      7.502,     22.695,      1.792,      0.860,     10.824,     56.403,      1.114,      6.217,   162.319
RU_JINR,      4.687,      3.608,      5.014,      0.984,      3.563,     12.329,      1.649,      0.429,      0.561,      0.000,      0.000,      0.000,    32.823
UK_Bristol,      3.511,      3.004,      9.342,      4.462,      2.992,      5.551,      0.856,      0.361,      2.737,      5.642,      1.378,      2.785,    42.621
UK_Brunel,      3.338,      3.312,      4.300,      1.089,      1.212,      3.172,      0.811,      0.234,      2.728,      9.402,      2.392,      1.311,    33.302
UK_Edinburgh,      0.203,      0.895,      1.727,      0.264,      0.297,      1.281,      0.084,      0.004,      1.302,     13.973,      2.642,      0.619,    23.291
UK_Imperial,      1.747,      5.417,      3.478,      0.283,      0.693,      2.818,      1.099,      0.160,      2.637,     10.597,      4.965,      1.433,    35.328
UK_Lancaster,      1.442,      1.339,      2.883,      1.316,      1.109,      2.478,      0.264,      0.009,      1.255,     11.894,      5.897,      0.009,    29.894
UK_Liverpool,      0.004,      0.009,      0.000,      0.001,      0.001,      1.484,      0.660,      0.083,      1.066,      6.103,      3.730,      0.446,    13.586
UK_Manchester,      5.487,     18.849,     14.832,     13.522,      8.643,     21.451,      1.578,      0.000,      0.001,     16.746,      9.910,      3.474,   114.493
UK_Oxford,      0.651,      0.792,      2.610,      0.810,      0.899,      3.294,      0.542,      0.081,      0.716,      6.133,      0.535,      0.790,    17.854
UK_QMUL,      5.410,      4.982,      7.271,      1.060,      0.467,      0.118,      0.072,      0.198,      3.820,     31.119,      6.971,      0.621,    62.109
UK_RAL-PPD,      3.804,     12.855,     16.251,      7.541,      9.202,     23.534,      4.448,      0.896,     17.183,     43.630,      4.662,     10.163,   154.169
UK_RAL-Tier1,     14.546,     17.950,     34.480,      7.329,      4.876,     12.510,      8.267,      9.394,     34.735,     19.120,     10.273,      0.004,   173.485
UK_Sheffield,      1.402,      1.426,      1.330,      0.441,      0.000,      3.761,      0.617,      0.039,      1.074,      5.764,      4.432,      0.484,    20.770
US_BNL,      1.024,      1.840,      1.088,      0.773,      0.812,      2.787,      0.468,      1.161,      1.259,     16.254,      0.425,      2.003,    29.894
US_Caltech,      0.000,      0.000,      0.000,      0.111,      0.723,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.834
US_Colorado,      0.209,      3.162,      3.872,      1.558,      2.605,      4.715,      1.516,      1.328,      3.974,      6.427,      1.442,      2.686,    33.493
US_FNAL-FermiGrid,      0.000,      0.000,      0.000,    183.232,    269.857,    132.859,    186.291,    156.310,    313.742,    409.413,    187.256,    138.101,  1977.059
US_FNAL-T1,      0.000,      0.000,      0.000,      1.686,      1.083,      1.795,      1.036,      0.252,      1.101,      2.686,      5.982,      3.043,    18.666
US_FermiGrid,     96.874,     94.234,    270.053,    175.267,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,   636.427
US_MWT2,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_Michigan,      0.020,      0.012,      0.024,      0.010,      0.040,      0.028,      0.060,      0.055,      0.003,      0.008,      0.008,      0.000,     0.269
US_NERSC,      0.000,      0.327,      0.248,      2.692,      4.419,      0.355,      0.116,      0.000,      0.000,      0.000,      0.000,      0.000,     8.158
US_Nebraska,      0.000,      0.000,      0.002,      0.000,      0.000,      0.064,      0.266,      0.000,      0.000,      0.000,      0.000,      0.000,     0.332
US_NotreDame,      0.005,      0.000,      0.354,      0.499,      0.276,      0.394,      0.108,      0.501,      0.273,      0.006,      0.013,      0.100,     2.529
US_Omaha,      0.000,      0.000,      0.000,      0.000,      0.000,      0.103,      0.085,      0.000,      0.000,      0.000,      0.000,      0.000,     0.188
US_PuertoRico,      0.219,      0.535,      0.482,      0.066,      0.174,      0.422,      0.057,      0.014,      0.032,      0.078,      0.103,      0.176,     2.358
US_SU-ITS,      0.000,      0.000,      0.154,      0.678,      0.723,      4.872,      3.617,      0.432,      0.323,      0.162,      0.185,      2.598,    13.745
US_Swan,      0.000,      0.000,      0.004,      0.003,      0.035,      0.009,      0.005,      0.009,      0.009,      0.001,      0.002,      0.017,     0.093
US_UCSD,      0.268,      0.710,      0.494,      0.328,      0.344,      0.600,      0.066,      0.101,      0.291,      0.445,      0.461,      0.253,     4.360
US_UChicago,      0.000,      0.000,      0.000,      0.000,      0.000,      0.544,      0.951,      0.216,      3.170,     19.422,      0.586,      2.881,    27.772
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.021,      0.229,      0.040,      0.138,      3.712,      0.491,      0.198,     4.830
US_WSU,      0.083,      0.078,      0.634,      0.922,      0.702,      0.559,      0.008,      0.001,      0.005,      0.000,      0.004,      0.027,     3.024
US_Wisconsin,      0.203,      0.763,      0.424,      0.245,      0.215,      1.047,      0.059,      0.111,      0.169,      0.386,      0.007,      0.258,     3.887
undefined,      1.500,      3.375,      3.447,      2.080,      0.154,      0.816,      0.100,      0.007,      0.000,      1.166,      0.289,      0.297,    13.230
Total,    175.126,    236.826,    471.853,    422.445,    348.343,    339.457,    237.406,    181.212,    440.308,    852.374,    297.543,    202.857,  4205.750
