   time in kHS23-Hrs by BySite     ,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,Total
BR_CBPF,        139,         13,          6,         27,         66,        163,         64,        569,        145,         70,         26,         64,        466,         81,         95,        703,        177,        401,        678,        748,          0,         75,         32,       4817
CA_SFU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         42,         14,         49,         19,          0,          0,          0,          1,         16,          0,          0,          6,          2,        151
CA_Victoria,        409,        605,        443,         12,          0,        291,        416,        700,        161,         70,        117,        116,         58,         24,         87,        217,         98,         18,         98,        275,        612,        412,        101,       5350
CERN,       4579,       2381,       1849,        697,       1213,       1937,       1545,       7955,        822,        643,        735,        816,       1266,        428,        985,       1474,        412,        231,        907,       3671,       1328,        757,        678,      37321
CH_UNIBE-LHEP,          5,          2,         10,          0,          0,          0,          0,          0,          0,          0,          0,          2,        126,          0,          0,          1,          1,          0,         23,        116,          0,         15,          0,        309
CZ_FZU,       1834,        906,       1236,        168,          8,         17,        849,       1258,          2,          0,        122,        640,       1088,        166,        227,       1134,        353,         26,        303,       4187,        209,        276,        298,      15316
ES_CIEMAT,        120,         60,          0,          0,          0,         87,         54,        258,         22,          8,          1,          4,          4,         16,         19,         25,         39,          5,          1,          3,          2,         61,         20,        819
ES_PIC,       1255,        861,        815,        193,        658,       1411,       1029,       2299,        384,        164,        267,        314,        251,         95,        267,        551,        169,         19,        156,       1199,        815,        125,         85,      13394
FR_CCIN2P3,        173,        326,        289,        168,        648,        564,        331,       1018,        197,         50,        177,        217,        726,        143,        215,        675,        131,         21,        405,       2386,        498,         68,        104,       9540
IN_TIFR,       3106,        533,       1051,        353,        249,        970,        801,       2429,        194,        330,        187,        246,        540,          0,        246,       1507,        380,          0,        249,        457,        108,        113,        104,      14163
IT_CNAF,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,        275,        292
NL_NIKHEF,        420,        431,        173,        159,        525,       1083,        415,       1250,        231,        150,        434,       1305,       1163,         66,        236,        548,        126,         38,        549,       1954,        411,        176,         54,      11909
NL_SURFsara,       5356,        586,       2631,        848,        859,       3302,       2191,       5581,        161,        234,        632,       1783,       2646,        229,        722,       2186,        172,         82,       1042,       5435,        107,        599,        334,      37729
RU_JINR,        112,        216,         13,         37,        661,        468,        161,        683,        499,         46,        451,        347,        483,         94,        343,       1187,        158,         41,         54,          0,          0,          0,          0,       6064
UK_Bristol,       3092,        758,        239,         29,        238,        462,        526,       1124,        182,        132,        338,        289,        900,        429,        288,        534,         82,         34,        263,        543,        132,        268,        271,      11166
UK_Brunel,        786,         19,          0,          0,          0,          0,          0,        293,        202,        119,        321,        319,        414,        104,        116,        305,         78,         22,        262,        906,        230,        126,         38,       4668
UK_Edinburgh,         51,        285,        136,          7,          0,          0,          0,        115,         61,         29,         19,         86,        166,         25,         28,        123,          8,          0,        125,       1346,        254,         59,         19,       2950
UK_Imperial,        185,        373,        237,        116,        157,        860,        661,       1434,        172,         90,        168,        521,        335,         27,         66,        271,        105,         15,        254,       1021,        478,        138,         78,       7771
UK_Lancaster,        304,        267,        289,        190,         87,       3070,        421,       1069,         91,         44,        138,        128,        277,        126,        106,        238,         25,          0,        120,       1146,        568,          0,          0,       8718
UK_Liverpool,        278,        260,        224,         18,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        143,         63,          7,        102,        588,        359,         42,         25,       2115
UK_Manchester,        152,        243,         74,         13,        116,       4262,       2121,       1099,        842,        399,        528,       1816,       1429,       1303,        832,       2067,        152,          0,          0,       1613,        954,        334,        397,      20756
UK_Oxford,       1065,        384,        210,         53,         97,        298,        101,        439,         98,         76,         62,         76,        251,         78,         86,        317,         52,          7,         69,        590,         51,         76,         61,       4606
UK_QMUL,       1023,         90,        437,        142,       1060,       1278,        465,       1464,        253,        162,        521,        480,        700,        102,         45,         11,          6,         19,        368,       2998,        671,         59,         51,      12416
