   time in kHS23-Yrs by BySite     ,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,Total
BR_CBPF,      0.016,      0.001,      0.001,      0.003,      0.008,      0.019,      0.007,      0.065,      0.017,      0.008,      0.003,      0.007,      0.053,      0.009,      0.011,      0.080,      0.020,      0.046,      0.077,      0.085,      0.000,      0.009,      0.004,      0.003,      0.000,      0.553
CA_SFU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.005,      0.002,      0.006,      0.002,      0.000,      0.000,      0.000,      0.000,      0.002,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.017
CA_Victoria,      0.046,      0.069,      0.051,      0.001,      0.000,      0.033,      0.047,      0.080,      0.018,      0.008,      0.013,      0.013,      0.007,      0.003,      0.010,      0.025,      0.011,      0.002,      0.011,      0.032,      0.070,      0.047,      0.012,      0.001,      0.000,      0.611
CERN,      0.519,      0.272,      0.211,      0.080,      0.139,      0.221,      0.176,      0.908,      0.094,      0.074,      0.084,      0.093,      0.145,      0.049,      0.113,      0.168,      0.047,      0.026,      0.104,      0.419,      0.152,      0.086,      0.103,      0.136,      0.005,      4.424
CH_UNIBE-LHEP,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.014,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.013,      0.000,      0.002,      0.000,      0.000,      0.000,      0.035
CZ_FZU,      0.207,      0.104,      0.141,      0.019,      0.001,      0.002,      0.097,      0.144,      0.000,      0.000,      0.014,      0.073,      0.124,      0.019,      0.026,      0.130,      0.040,      0.003,      0.035,      0.478,      0.024,      0.032,      0.054,      0.128,      0.000,      1.894
ES_CIEMAT,      0.014,      0.007,      0.000,      0.000,      0.000,      0.010,      0.006,      0.029,      0.003,      0.001,      0.000,      0.000,      0.000,      0.002,      0.002,      0.003,      0.005,      0.001,      0.000,      0.000,      0.000,      0.007,      0.003,      0.000,      0.000,      0.094
ES_PIC,      0.143,      0.098,      0.093,      0.022,      0.075,      0.161,      0.118,      0.262,      0.044,      0.019,      0.030,      0.036,      0.029,      0.011,      0.031,      0.063,      0.019,      0.002,      0.018,      0.137,      0.093,      0.014,      0.011,      0.048,      0.000,      1.577
FR_CCIN2P3,      0.020,      0.037,      0.033,      0.019,      0.074,      0.064,      0.038,      0.116,      0.023,      0.006,      0.020,      0.025,      0.083,      0.016,      0.025,      0.077,      0.015,      0.002,      0.046,      0.272,      0.057,      0.008,      0.013,      0.039,      0.000,      1.129
IN_TIFR,      0.351,      0.061,      0.120,      0.040,      0.028,      0.111,      0.091,      0.277,      0.022,      0.038,      0.021,      0.028,      0.062,      0.000,      0.028,      0.172,      0.043,      0.000,      0.028,      0.052,      0.012,      0.013,      0.012,      0.005,      0.000,      1.618
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.034,      0.047,      0.000,      0.083
NL_NIKHEF,      0.048,      0.049,      0.020,      0.018,      0.060,      0.124,      0.047,      0.143,      0.026,      0.017,      0.050,      0.149,      0.133,      0.008,      0.027,      0.063,      0.014,      0.004,      0.063,      0.223,      0.047,      0.020,      0.007,      0.026,      0.000,      1.386
NL_SURFsara,      0.609,      0.067,      0.300,      0.097,      0.098,      0.377,      0.250,      0.637,      0.018,      0.027,      0.072,      0.204,      0.302,      0.026,      0.083,      0.250,      0.020,      0.009,      0.119,      0.620,      0.012,      0.068,      0.046,      0.000,      0.000,      4.312
RU_JINR,      0.013,      0.025,      0.001,      0.004,      0.076,      0.054,      0.018,      0.078,      0.057,      0.005,      0.052,      0.040,      0.055,      0.011,      0.039,      0.136,      0.018,      0.005,      0.006,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.692
UK_Bristol,      0.346,      0.087,      0.027,      0.003,      0.027,      0.053,      0.060,      0.128,      0.021,      0.015,      0.039,      0.033,      0.103,      0.049,      0.033,      0.061,      0.009,      0.004,      0.030,      0.062,      0.015,      0.031,      0.033,      0.036,      0.001,      1.307
UK_Brunel,      0.087,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.033,      0.023,      0.014,      0.037,      0.036,      0.047,      0.012,      0.013,      0.035,      0.009,      0.003,      0.030,      0.103,      0.026,      0.014,      0.005,      0.042,      0.000,      0.572
UK_Edinburgh,      0.006,      0.033,      0.016,      0.001,      0.000,      0.000,      0.000,      0.013,      0.007,      0.003,      0.002,      0.010,      0.019,      0.003,      0.003,      0.014,      0.001,      0.000,      0.014,      0.154,      0.029,      0.007,      0.002,      0.003,      0.000,      0.340
UK_Imperial,      0.021,      0.043,      0.027,      0.013,      0.018,      0.098,      0.076,      0.164,      0.020,      0.010,      0.019,      0.060,      0.038,      0.003,      0.008,      0.031,      0.012,      0.002,      0.029,      0.117,      0.055,      0.016,      0.010,      0.044,      0.000,      0.932
UK_Lancaster,      0.035,      0.031,      0.033,      0.022,      0.010,      0.350,      0.048,      0.122,      0.010,      0.005,      0.016,      0.015,      0.032,      0.014,      0.012,      0.027,      0.003,      0.000,      0.014,      0.131,      0.065,      0.000,      0.000,      0.019,      0.000,      1.014
UK_Liverpool,      0.031,      0.030,      0.026,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.016,      0.007,      0.001,      0.012,      0.067,      0.041,      0.005,      0.003,      0.005,      0.000,      0.246
UK_Manchester,      0.017,      0.028,      0.009,      0.002,      0.013,      0.487,      0.242,      0.126,      0.096,      0.046,      0.060,      0.207,      0.163,      0.149,      0.095,      0.236,      0.017,      0.000,      0.000,      0.184,      0.109,      0.038,      0.051,      0.111,      0.001,      2.486
UK_Oxford,      0.119,      0.044,      0.024,      0.006,      0.011,      0.034,      0.012,      0.050,      0.011,      0.009,      0.007,      0.009,      0.029,      0.009,      0.010,      0.036,      0.006,      0.001,      0.008,      0.067,      0.006,      0.009,      0.007,      0.021,      0.000,      0.545
UK_QMUL,      0.114,      0.010,      0.050,      0.016,      0.121,      0.146,      0.053,      0.167,      0.029,      0.019,      0.060,      0.055,      0.080,      0.012,      0.005,      0.001,      0.001,      0.002,      0.042,      0.342,      0.077,      0.007,      0.014,      0.040,      0.000,      1.463
UK_RAL-PPD,      0.439,      0.173,      0.079,      0.039,      0.055,      0.150,      0.145,      0.223,      0.056,      0.033,      0.042,      0.141,      0.179,      0.083,      0.101,      0.259,      0.049,      0.010,      0.189,      0.480,      0.051,      0.112,      0.049,      0.129,      0.001,      3.267
UK_RAL-Tier1,      0.530,      0.570,      0.147,      0.104,      0.075,      0.131,      0.032,      0.590,      0.046,      0.110,      0.160,      0.197,      0.379,      0.081,      0.054,      0.138,      0.091,      0.103,      0.382,      0.210,      0.113,      0.000,      0.038,      0.171,      0.001,      4.453
UK_Sheffield,      0.059,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.007,      0.015,      0.016,      0.015,      0.005,      0.000,      0.041,      0.007,      0.000,      0.012,      0.063,      0.049,      0.005,      0.004,      0.000,      0.000,      0.303
US_BNL,      0.227,      0.061,      0.069,      0.015,      0.006,      0.027,      0.033,      0.148,      0.006,      0.005,      0.011,      0.020,      0.012,      0.009,      0.009,      0.031,      0.005,      0.013,      0.014,      0.179,      0.005,      0.022,      0.016,      0.041,      0.000,      0.984
US_Caltech,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.008,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.009
US_Colorado,      0.070,      0.057,      0.038,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.035,      0.043,      0.017,      0.029,      0.052,      0.017,      0.015,      0.044,      0.071,      0.016,      0.030,      0.027,      0.071,      0.000,      0.633
US_FNAL-FermiGrid,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      2.016,      2.968,      1.461,      2.049,      1.719,      3.451,      4.504,      2.060,      1.519,      1.111,      2.363,      0.009,     25.230
US_FNAL-T1,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.019,      0.012,      0.020,      0.011,      0.003,      0.012,      0.030,      0.066,      0.033,      0.011,      0.008,      0.000,      0.224
US_FermiGrid,      1.654,      1.536,      3.589,      5.136,      2.390,      2.578,      3.308,      4.419,      1.010,      0.885,      1.066,      1.037,      2.971,      1.928,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     33.507
US_MWT2,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001
US_Michigan,      0.001,      0.001,      0.003,      0.000,      0.000,      0.000,      0.000,      0.002,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.012
US_NERSC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.004,      0.003,      0.030,      0.049,      0.004,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.257,      1.363,      0.000,      1.710
US_Nebraska,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.003,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004
US_NotreDame,      0.006,      0.004,      0.015,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004,      0.005,      0.003,      0.004,      0.001,      0.006,      0.003,      0.000,      0.000,      0.001,      0.003,      0.000,      0.000,      0.056
US_Omaha,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
US_PuertoRico,      0.007,      0.003,      0.007,      0.004,      0.003,      0.004,      0.002,      0.006,      0.000,      0.000,      0.002,      0.006,      0.005,      0.001,      0.002,      0.005,      0.001,      0.000,      0.000,      0.001,      0.001,      0.002,      0.002,      0.002,      0.000,      0.066
US_SU-ITS,      0.037,      0.023,      0.033,      0.016,      0.034,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.007,      0.008,      0.054,      0.040,      0.005,      0.004,      0.002,      0.002,      0.029,      0.024,      0.000,      0.000,      0.319
US_Swan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001
US_UCSD,      0.013,      0.009,      0.009,      0.004,      0.000,      0.006,      0.008,      0.014,      0.002,      0.003,      0.003,      0.008,      0.005,      0.004,      0.004,      0.007,      0.001,      0.001,      0.003,      0.005,      0.005,      0.003,      0.003,      0.004,      0.000,      0.123
US_UChicago,      0.004,      0.002,      0.007,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.006,      0.010,      0.002,      0.035,      0.214,      0.006,      0.032,      0.027,      0.064,      0.000,      0.411
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.000,      0.002,      0.041,      0.005,      0.002,      0.008,      0.003,      0.000,      0.064
US_WSU,      0.041,      0.003,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.002,      0.000,      0.001,      0.001,      0.007,      0.010,      0.008,      0.006,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.084
US_Wisconsin,      0.025,      0.001,      0.004,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.008,      0.005,      0.003,      0.002,      0.012,      0.001,      0.001,      0.002,      0.004,      0.000,      0.003,      0.011,      0.004,      0.000,      0.088
undefined,      0.219,      0.257,      0.488,      1.309,      0.049,      0.040,      0.048,      0.110,      0.009,      0.021,      0.017,      0.037,      0.038,      0.023,      0.002,      0.009,      0.001,      0.000,      0.000,      0.013,      0.003,      0.003,      0.008,      0.005,      0.000,      2.708
Total,      6.094,      3.798,      5.670,      6.999,      3.372,      5.281,      4.965,      9.061,      1.678,      1.389,      1.926,      2.605,      5.190,      4.647,      3.832,      3.734,      2.611,      1.993,      4.843,      9.376,      3.273,      2.231,      2.023,      4.983,      0.020,    101.596
