   time in kHS23-Yrs by BySite     ,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,Total
BR_CBPF,      0.007,      0.053,      0.009,      0.011,      0.080,      0.020,      0.046,      0.077,      0.085,      0.000,      0.009,      0.004,      0.402
CA_SFU,      0.002,      0.006,      0.002,      0.000,      0.000,      0.000,      0.000,      0.002,      0.000,      0.000,      0.001,      0.000,      0.012
CA_Victoria,      0.013,      0.007,      0.003,      0.010,      0.025,      0.011,      0.002,      0.011,      0.032,      0.070,      0.047,      0.012,      0.242
CERN,      0.093,      0.145,      0.049,      0.113,      0.168,      0.047,      0.026,      0.104,      0.419,      0.152,      0.086,      0.077,      1.479
CH_UNIBE-LHEP,      0.000,      0.014,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.013,      0.000,      0.002,      0.000,      0.033
CZ_FZU,      0.073,      0.124,      0.019,      0.026,      0.130,      0.040,      0.003,      0.035,      0.478,      0.024,      0.032,      0.034,      1.017
ES_CIEMAT,      0.000,      0.000,      0.002,      0.002,      0.003,      0.005,      0.001,      0.000,      0.000,      0.000,      0.007,      0.002,      0.023
ES_PIC,      0.036,      0.029,      0.011,      0.031,      0.063,      0.019,      0.002,      0.018,      0.137,      0.093,      0.014,      0.010,      0.463
FR_CCIN2P3,      0.025,      0.083,      0.016,      0.025,      0.077,      0.015,      0.002,      0.046,      0.272,      0.057,      0.008,      0.012,      0.639
IN_TIFR,      0.028,      0.062,      0.000,      0.028,      0.172,      0.043,      0.000,      0.028,      0.052,      0.012,      0.013,      0.012,      0.451
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.031,      0.033
NL_NIKHEF,      0.149,      0.133,      0.008,      0.027,      0.063,      0.014,      0.004,      0.063,      0.223,      0.047,      0.020,      0.006,      0.757
NL_SURFsara,      0.204,      0.302,      0.026,      0.083,      0.250,      0.020,      0.009,      0.119,      0.620,      0.012,      0.068,      0.038,      1.752
RU_JINR,      0.040,      0.055,      0.011,      0.039,      0.136,      0.018,      0.005,      0.006,      0.000,      0.000,      0.000,      0.000,      0.309
UK_Bristol,      0.033,      0.103,      0.049,      0.033,      0.061,      0.009,      0.004,      0.030,      0.062,      0.015,      0.031,      0.031,      0.461
UK_Brunel,      0.036,      0.047,      0.012,      0.013,      0.035,      0.009,      0.003,      0.030,      0.103,      0.026,      0.014,      0.004,      0.334
UK_Edinburgh,      0.010,      0.019,      0.003,      0.003,      0.014,      0.001,      0.000,      0.014,      0.154,      0.029,      0.007,      0.002,      0.256
UK_Imperial,      0.060,      0.038,      0.003,      0.008,      0.031,      0.012,      0.002,      0.029,      0.117,      0.055,      0.016,      0.009,      0.378
UK_Lancaster,      0.015,      0.032,      0.014,      0.012,      0.027,      0.003,      0.000,      0.014,      0.131,      0.065,      0.000,      0.000,      0.313
UK_Liverpool,      0.000,      0.000,      0.000,      0.000,      0.016,      0.007,      0.001,      0.012,      0.067,      0.041,      0.005,      0.003,      0.152
UK_Manchester,      0.207,      0.163,      0.149,      0.095,      0.236,      0.017,      0.000,      0.000,      0.184,      0.109,      0.038,      0.045,      1.244
UK_Oxford,      0.009,      0.029,      0.009,      0.010,      0.036,      0.006,      0.001,      0.008,      0.067,      0.006,      0.009,      0.007,      0.196
UK_QMUL,      0.055,      0.080,      0.012,      0.005,      0.001,      0.001,      0.002,      0.042,      0.342,      0.077,      0.007,      0.006,      0.630
UK_RAL-PPD,      0.141,      0.179,      0.083,      0.101,      0.259,      0.049,      0.010,      0.189,      0.480,      0.051,      0.112,      0.046,      1.700
