   time in CoreYears by ByCountry     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR,      1.310,      0.108,      0.003,      0.033,      0.027,      0.820,      0.156,      3.945,      1.130,      0.700,      0.007,      0.060,     8.298
CA,      3.436,      0.363,      0.000,      0.000,      0.000,      0.000,      0.529,      4.314,      0.652,      0.102,      0.219,      0.268,     9.885
CERN,     37.528,      6.677,      6.178,      0.811,      1.210,      5.919,      4.647,     68.411,      3.882,      3.902,      0.710,      2.884,   142.760
CH,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.021,     0.021
CZ,     13.583,      1.694,      2.429,      0.092,      0.000,      0.062,      0.259,     12.053,      0.019,      0.003,      0.624,      4.378,    35.197
ES,      9.871,      2.538,      1.950,      0.160,      0.391,      6.037,      1.797,     20.717,      1.914,      0.557,      0.838,      1.657,    48.427
FR,      0.308,      0.000,      0.003,      0.120,      0.610,      2.486,      0.232,      6.580,      0.494,      0.010,      0.080,      0.834,    11.758
IN,     25.253,      1.879,      3.971,      1.359,      0.000,      4.118,      1.655,     13.521,      0.612,      0.633,      0.125,      0.066,    53.191
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
NL,     49.237,      3.194,      8.748,      0.264,      0.466,     20.833,      3.129,     52.753,      2.734,      0.766,      3.152,     20.578,   165.853
RU,      0.536,      1.750,      0.000,      0.090,      0.001,      2.072,      0.084,      2.475,      2.087,      0.205,      0.004,      0.061,     9.366
UK,    144.875,     41.251,      5.519,      6.695,      2.174,     56.315,      6.796,    110.930,     16.993,      8.867,     12.534,     42.796,   455.744
US,     93.230,     27.377,     19.062,     11.620,      3.267,     31.618,      7.076,    137.722,     13.853,     13.971,      2.159,     31.414,   392.370
undefined,     18.551,     20.693,     36.931,    116.104,      2.892,      0.560,      0.397,      7.996,      0.405,      0.179,      0.000,      0.761,   205.468
Total,    397.717,    107.525,     84.794,    137.348,     11.037,    130.841,     26.757,    441.417,     44.775,     29.897,     20.453,    105.777,  1538.338
