   time in kHS23-Hrs by ByCountry     ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
BR,          0,          5,        120,         17,         21,        507,        135,        384,        658,        720,          0,          3,       2575
CA,         21,         25,         18,         10,          0,          0,          0,          2,         10,        199,        451,         44,        785
CERN,         68,        277,        238,         10,          6,         21,          3,         96,        524,       3265,        890,         14,       5417
CH,          0,          1,        125,          0,          0,          0,          0,          0,         23,        116,          0,          0,        268
CZ,         60,        421,        229,          6,          1,          0,          0,          0,        213,       3981,         63,         65,       5043
ES,         80,        159,         31,          2,          2,          6,          1,          7,         63,        940,        686,         11,       1992
FR,          7,         80,        209,         22,          1,         58,          9,         13,        350,       2036,        461,          5,       3255
IN,         12,          6,         15,          0,          0,          0,          0,          0,        105,        393,         10,          0,        544
IT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
NL,        303,       1982,       1009,          1,         33,        336,         10,         54,       1151,       7327,        431,        179,      12822
RU,          0,          5,        200,         14,          4,        163,         38,         27,         10,          0,          0,          0,        466
UK,       1207,       4123,       2629,        151,         31,        758,        344,        784,       3253,      14724,       3913,        240,      32163
US,        208,       3027,       1726,        647,        699,       2152,       1204,       1940,       1890,       9610,        551,         71,      23729
undefined,          0,         73,         62,          1,          0,          0,          0,          0,          0,          0,          0,          0,        137
Total,   1970.807,  10192.649,   6616.266,    886.864,    801.248,   4006.482,   1749.958,   3309.955,   8254.928,  43315.879,   7460.916,    636.853,      89202
