   time in kHS23-Hrs by ByCountry     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,Total
BR,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2
CA,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1
CERN,          0,          1,          0,          0,          0,          0,          0,          0,          6,          0,          0,          0,         31,          3,         42
CH,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CZ,          0,          0,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,        118,         10,        131
ES,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          4,         10
FR,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         14,         15
IN,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
IT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
NL,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         63,          1,         67
UK,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        138,         24,        167
US,         86,         49,        618,        622,        579,        201,          0,          0,         85,          0,          0,          0,         93,       1304,       3642
undefined,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
Total,         86,         53,        620,        624,        580,        201,          0,          0,         95,          0,          0,          2,        453,       1362,       4081
