   time in kHS23-Hrs by ByCountry     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,Total
BR,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          5,          0,          0,          1,          0,          0,          0,          0,          0,         12
CA,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5
CERN,          0,          1,          0,          0,          0,          0,          0,          0,          6,          0,          0,          0,         31,          3,         61,         22,         32,          0,          5,         18,          0,          0,          0,          0,          0,         20,          0,          1,          0,          0,          0,        205
CH,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CZ,          0,          0,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,        118,         10,        194,         10,          8,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,        349
ES,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          4,        103,         13,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        132
FR,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         14,        120,         24,         11,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,        179
IN,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1
IT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1
NL,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         63,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         70
UK,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        138,         24,        272,         66,         33,          4,          6,         17,          0,          1,          5,          1,          0,          9,          1,          6,          0,          0,          0,        595
US,         86,         49,        618,        622,        579,        201,          0,          0,         85,          0,          0,          0,         93,       1304,       2448,       2799,       1452,        556,        431,       2445,       1017,          0,          0,          0,          7,         70,         24,         73,          6,          0,          0,      14975
undefined,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
Total,         86,         53,        620,        624,        580,        201,          0,          0,         95,          0,          0,          2,        453,       1362,       3203,       2936,       1542,        561,        447,       2487,       1018,          2,         11,          2,          8,        103,         28,         85,          6,          0,          0,      16528
