   time in kHS23-Yrs by ByCountry     ,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,Total
BR,      0.014,      0.001,      0.000,      0.000,      0.000,      0.009,      0.002,      0.043,      0.012,      0.008,      0.000,      0.001,      0.014,      0.002,      0.002,      0.058,      0.016,      0.044,      0.075,      0.082,      0.000,      0.000,      0.001,      0.001,      0.000,      0.387
CA,      0.038,      0.004,      0.000,      0.000,      0.000,      0.000,      0.006,      0.047,      0.007,      0.001,      0.002,      0.003,      0.002,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.023,      0.051,      0.005,      0.000,      0.000,      0.000,      0.193
CERN,      0.410,      0.073,      0.068,      0.009,      0.013,      0.065,      0.051,      0.753,      0.043,      0.043,      0.008,      0.032,      0.027,      0.001,      0.001,      0.002,      0.000,      0.011,      0.060,      0.373,      0.102,      0.002,      0.019,      0.030,      0.005,      2.200
CH,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.014,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.013,      0.000,      0.000,      0.000,      0.000,      0.000,      0.031
CZ,      0.148,      0.019,      0.027,      0.001,      0.000,      0.001,      0.003,      0.133,      0.000,      0.000,      0.007,      0.048,      0.026,      0.001,      0.000,      0.000,      0.000,      0.000,      0.024,      0.454,      0.007,      0.007,      0.014,      0.027,      0.000,      0.948
ES,      0.108,      0.028,      0.021,      0.002,      0.004,      0.066,      0.020,      0.228,      0.021,      0.006,      0.009,      0.018,      0.004,      0.000,      0.000,      0.001,      0.000,      0.001,      0.007,      0.107,      0.078,      0.001,      0.003,      0.015,      0.000,      0.750
FR,      0.003,      0.000,      0.000,      0.001,      0.007,      0.027,      0.003,      0.072,      0.005,      0.000,      0.001,      0.009,      0.024,      0.003,      0.000,      0.007,      0.001,      0.001,      0.040,      0.233,      0.053,      0.001,      0.001,      0.022,      0.000,      0.514
IN,      0.275,      0.021,      0.044,      0.015,      0.000,      0.045,      0.018,      0.149,      0.007,      0.007,      0.001,      0.001,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.012,      0.045,      0.001,      0.000,      0.000,      0.000,      0.000,      0.642
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
NL,      0.539,      0.035,      0.096,      0.003,      0.005,      0.229,      0.034,      0.580,      0.030,      0.008,      0.035,      0.226,      0.115,      0.000,      0.004,      0.038,      0.001,      0.006,      0.131,      0.836,      0.049,      0.020,      0.012,      0.001,      0.000,      3.037
RU,      0.006,      0.019,      0.000,      0.001,      0.000,      0.023,      0.001,      0.027,      0.023,      0.002,      0.000,      0.001,      0.023,      0.002,      0.000,      0.019,      0.004,      0.003,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.156
UK,      1.563,      0.454,      0.061,      0.074,      0.024,      0.619,      0.075,      1.220,      0.187,      0.098,      0.138,      0.471,      0.300,      0.017,      0.004,      0.087,      0.039,      0.090,      0.371,      1.681,      0.447,      0.027,      0.038,      0.056,      0.002,      8.142
US,      1.015,      0.301,      0.210,      0.128,      0.036,      0.348,      0.078,      1.515,      0.152,      0.154,      0.024,      0.346,      0.197,      0.074,      0.080,      0.246,      0.138,      0.221,      0.216,      1.097,      0.063,      0.008,      0.270,      1.472,      0.004,      8.392
undefined,      0.203,      0.228,      0.406,      1.277,      0.032,      0.006,      0.004,      0.088,      0.004,      0.002,      0.000,      0.008,      0.007,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      2.267
Total,      4.322,      1.183,      0.933,      1.511,      0.121,      1.439,      0.294,      4.856,      0.493,      0.329,      0.225,      1.164,      0.755,      0.101,      0.091,      0.457,      0.200,      0.378,      0.942,      4.945,      0.852,      0.073,      0.360,      1.624,      0.012,     27.658
