   time in kHS23-Yrs by ByCountry     ,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,Total
BR,      0.014,      0.002,      0.002,      0.058,      0.016,      0.044,      0.075,      0.082,      0.000,      0.000,      0.001,      0.001,      0.000,      0.296
CA,      0.002,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.023,      0.051,      0.005,      0.000,      0.000,      0.000,      0.085
CERN,      0.027,      0.001,      0.001,      0.002,      0.000,      0.011,      0.060,      0.373,      0.102,      0.002,      0.019,      0.030,      0.005,      0.632
CH,      0.014,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.013,      0.000,      0.000,      0.000,      0.000,      0.000,      0.030
CZ,      0.026,      0.001,      0.000,      0.000,      0.000,      0.000,      0.024,      0.454,      0.007,      0.007,      0.014,      0.027,      0.000,      0.562
ES,      0.004,      0.000,      0.000,      0.001,      0.000,      0.001,      0.007,      0.107,      0.078,      0.001,      0.003,      0.015,      0.000,      0.218
FR,      0.024,      0.003,      0.000,      0.007,      0.001,      0.001,      0.040,      0.233,      0.053,      0.001,      0.001,      0.022,      0.000,      0.384
IN,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.012,      0.045,      0.001,      0.000,      0.000,      0.000,      0.000,      0.060
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
NL,      0.115,      0.000,      0.004,      0.038,      0.001,      0.006,      0.131,      0.836,      0.049,      0.020,      0.012,      0.001,      0.000,      1.215
RU,      0.023,      0.002,      0.000,      0.019,      0.004,      0.003,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.052
UK,      0.300,      0.017,      0.004,      0.087,      0.039,      0.090,      0.371,      1.681,      0.447,      0.027,      0.038,      0.056,      0.002,      3.160
US,      0.197,      0.074,      0.080,      0.246,      0.138,      0.221,      0.216,      1.097,      0.063,      0.008,      0.270,      1.472,      0.004,      4.086
undefined,      0.007,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.007
Total,      0.755,      0.101,      0.091,      0.457,      0.200,      0.378,      0.942,      4.945,      0.852,      0.073,      0.360,      1.624,      0.012,     10.790
