   time in CoreYears by BySite     ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
BR_CBPF,      0.007,      0.060,      1.249,      0.181,      0.221,      5.267,      1.411,      3.986,      6.829,      7.482,      0.000,      0.039,    26.732
CA_SFU,      0.000,      0.006,      0.187,      0.049,      0.000,      0.000,      0.000,      0.012,      0.101,      0.000,      0.000,      0.007,     0.361
CA_Victoria,      0.219,      0.262,      0.002,      0.056,      0.004,      0.007,      0.006,      0.012,      0.012,      2.070,      4.681,      0.454,     7.786
CERN,      0.710,      2.884,      2.473,      0.113,      0.068,      0.222,      0.032,      0.999,      5.443,     33.891,      9.242,      0.146,    56.222
CH_UNIBE-LHEP,      0.001,      0.021,      1.305,      0.001,      0.002,      0.006,      0.000,      0.000,      0.243,      1.208,      0.000,      0.000,     2.786
CZ_FZU,      0.624,      4.378,      2.380,      0.070,      0.013,      0.005,      0.000,      0.000,      2.212,     41.317,      0.663,      0.676,    52.339
ES_CIEMAT,      0.007,      0.001,      0.002,      0.002,      0.003,      0.005,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004,     0.026
ES_PIC,      0.831,      1.655,      0.320,      0.028,      0.019,      0.059,      0.011,      0.075,      0.656,      9.757,      7.125,      0.119,    20.655
FR_CCIN2P3,      0.080,      0.834,      2.171,      0.229,      0.010,      0.605,      0.101,      0.136,      3.633,     21.137,      4.793,      0.058,    33.786
IN_TIFR,      0.125,      0.066,      0.165,      0.000,      0.000,      0.002,      0.000,      0.000,      1.097,      4.082,      0.108,      0.000,     5.646
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
NL_NIKHEF,      1.750,     10.581,      5.208,      0.011,      0.029,      0.093,      0.007,      0.058,      4.675,     19.920,      3.589,      0.212,    46.135
NL_SURFsara,      1.401,      9.997,      5.269,      0.006,      0.316,      3.402,      0.102,      0.508,      7.276,     56.123,      0.887,      1.649,    86.936
RU_JINR,      0.004,      0.061,      2.078,      0.152,      0.043,      1.698,      0.403,      0.290,      0.106,      0.000,      0.000,      0.000,     4.837
UK_Bristol,      1.357,      1.020,      1.066,      0.089,      0.018,      0.072,      0.034,      0.156,      1.662,      4.334,      0.630,      0.090,    10.527
UK_Brunel,      1.288,      1.704,      0.952,      0.041,      0.020,      0.020,      0.014,      0.111,      1.955,      7.968,      1.360,      0.104,    15.538
UK_Edinburgh,      0.079,      0.356,      1.098,      0.078,      0.009,      0.205,      0.021,      0.000,      1.186,     12.265,      2.390,      0.051,    17.739
UK_Imperial,      0.567,      4.474,      0.897,      0.038,      0.026,      0.164,      0.056,      0.100,      0.897,     10.300,      4.576,      0.200,    22.294
UK_Lancaster,      0.960,      1.012,      1.196,      0.019,      0.004,      0.028,      0.000,      0.000,      0.596,     11.519,      5.331,      0.000,    20.665
UK_Liverpool,      0.004,      0.009,      0.000,      0.001,      0.001,      0.016,      0.019,      0.025,      0.284,      5.306,      3.400,      0.046,     9.110
UK_Manchester,      1.109,     12.901,      3.183,      0.090,      0.013,      0.084,      0.005,      0.000,      0.000,     16.139,      1.644,      0.504,    35.671
UK_Oxford,      0.387,      0.343,      0.484,      0.007,      0.007,      0.081,      0.003,      0.008,      0.565,      5.820,      0.309,      0.039,     8.056
UK_QMUL,      1.416,      1.622,      2.407,      0.232,      0.035,      0.097,      0.000,      0.061,      3.194,     26.802,      6.657,      0.067,    42.591
UK_RAL-PPD,      1.558,      9.309,      2.928,      0.063,      0.012,      0.164,      0.014,      0.177,      7.280,     40.146,      0.004,      1.242,    62.897
UK_RAL-Tier1,      2.943,      9.834,     12.289,      0.914,      0.179,      6.882,      3.412,      7.496,     15.486,      6.692,     10.273,      0.004,    76.405
UK_Sheffield,      0.866,      0.212,      0.786,      0.005,      0.000,      0.054,      0.000,      0.008,      0.662,      5.512,      4.043,      0.149,    12.297
US_BNL,      0.466,      1.194,      0.034,      0.532,      0.018,      0.482,      0.032,      0.997,      0.997,     16.072,      0.185,      0.027,    21.035
US_Caltech,      0.000,      0.000,      0.000,      0.001,      0.004,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.005
US_Colorado,      0.145,      0.830,      0.613,      0.186,      0.150,      0.313,      0.350,      0.979,      2.099,      5.475,      0.592,      0.023,    11.755
US_FNAL-FermiGrid,      0.000,      0.000,      0.000,      0.025,      2.618,     20.957,     11.991,     17.699,     13.715,     53.089,      0.000,      0.405,   120.499
US_FNAL-T1,      0.000,      0.000,      0.000,      0.001,      0.003,      0.006,      0.000,      0.004,      0.180,      2.019,      4.591,      0.091,     6.896
US_FermiGrid,      1.224,     28.148,     16.841,      3.130,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,    49.342
US_MWT2,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_Michigan,      0.003,      0.001,      0.001,      0.003,      0.005,      0.005,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.019
US_NERSC,      0.000,      0.327,      0.248,      2.692,      4.419,      0.355,      0.116,      0.000,      0.000,      0.000,      0.000,      0.000,     8.158
US_Nebraska,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,     0.002
US_NotreDame,      0.002,      0.000,      0.030,      0.099,      0.016,      0.183,      0.013,      0.395,      0.125,      0.000,      0.000,      0.000,     0.863
US_Omaha,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,     0.002
US_PuertoRico,      0.183,      0.411,      0.027,      0.003,      0.009,      0.007,      0.001,      0.000,      0.000,      0.017,      0.054,      0.000,     0.713
US_SU-ITS,      0.000,      0.000,      0.000,      0.001,      0.001,      0.001,      0.000,      0.000,      0.019,      0.000,      0.000,      0.009,     0.032
US_Swan,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.002
US_UCSD,      0.132,      0.500,      0.039,      0.009,      0.010,      0.018,      0.000,      0.059,      0.094,      0.363,      0.299,      0.000,     1.523
US_UChicago,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.000,      0.000,      2.360,     19.173,      0.000,      0.168,    21.704
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      3.179,      0.000,      0.000,     3.179
US_WSU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,     0.001
US_Wisconsin,      0.004,      0.003,      0.088,      0.032,      0.006,      0.006,      0.000,      0.000,      0.028,      0.344,      0.000,      0.020,     0.532
undefined,      0.000,      0.761,      0.644,      0.013,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.000,      0.004,     1.424
Total,     20.453,    105.777,     68.662,      9.204,      8.315,     41.578,     18.161,     34.350,     85.668,    449.521,     77.428,      6.609,   925.724
