   time in kHS23-Hrs by BySite     ,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,Total
BR_CBPF,        126,         10,          0,          3,          2,         78,         15,        380,        108,         67,          0,          5,        120,         17,         21,        507,        135,        384,        658,        720,          0,          3,         12,       3381
CA_SFU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         18,          4,          0,          0,          0,          1,          9,          0,          0,          0,          0,         34
CA_Victoria,        331,         34,          0,          0,          0,          0,         51,        415,         62,          9,         21,         25,          0,          5,          0,          0,          0,          1,          1,        199,        451,         43,          0,       1655
CERN,       3616,        643,        595,         78,        116,        570,        447,       6592,        374,        376,         68,        277,        238,         10,          6,         21,          3,         96,        524,       3265,        890,         14,        127,      18954
CH_UNIBE-LHEP,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,        125,          0,          0,          0,          0,          0,         23,        116,          0,          0,          0,        268
CZ_FZU,       1308,        163,        234,          8,          0,          5,         24,       1161,          1,          0,         60,        421,        229,          6,          1,          0,          0,          0,        213,       3981,         63,         65,          5,       7958
ES_CIEMAT,         34,          0,          0,          0,          0,          0,         20,        227,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        285
ES_PIC,        916,        244,        187,         15,         37,        581,        153,       1768,        184,         53,         80,        159,         30,          2,          1,          5,          1,          7,         63,        940,        686,         11,         23,       6157
FR_CCIN2P3,         29,          0,          0,         11,         58,        239,         22,        634,         47,          0,          7,         80,        209,         22,          1,         58,          9,         13,        350,       2036,        461,          5,          6,       4307
IN_TIFR,       2433,        181,        382,        130,          0,        396,        159,       1302,         58,         60,         12,          6,         15,          0,          0,          0,          0,          0,        105,        393,         10,          0,          0,       5651
IT_CNAF,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
NL_NIKHEF,        221,        299,         31,          7,          0,        550,         26,        949,        195,         40,        168,       1019,        501,          1,          2,          8,          0,          5,        450,       1919,        345,         20,         23,       6791
NL_SURFsara,       4523,          8,        811,         18,         44,       1457,        274,       4133,         67,         33,        135,        963,        507,          0,         30,        327,          9,         48,        701,       5407,         85,        158,         14,      19764
RU_JINR,         51,        168,          0,          8,          0,        199,          8,        238,        201,         19,          0,          5,        200,         14,          4,        163,         38,         27,         10,          0,          0,          0,          0,       1362
UK_Bristol,       2882,        292,         57,         28,          0,        215,        129,        736,         99,         52,        130,         98,        102,          8,          1,          6,          3,         15,        160,        417,         60,          8,          4,       5513
UK_Brunel,        728,          0,          0,          0,          0,          0,          0,        189,        112,         58,        124,        164,         91,          3,          1,          1,          1,         10,        188,        767,        131,         10,         12,       2599
UK_Edinburgh,         19,        141,         61,          0,          0,          0,          0,         43,         28,         17,          7,         34,        105,          7,          0,         19,          2,          0,        114,       1181,        230,          4,          6,       2027
UK_Imperial,        147,         88,          6,         12,         15,        155,         16,       1257,        111,         17,         54,        431,         86,          3,          2,         15,          5,          9,         86,        992,        440,         19,         15,       3991
UK_Lancaster,        277,         91,        127,        108,          0,       2224,         39,        858,         36,         16,         92,         97,        115,          1,          0,          2,          0,          0,         57,       1109,        513,          0,          0,       5773
UK_Liverpool,        171,         78,         63,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          2,         27,        511,        327,          4,          3,       1196
UK_Manchester,         50,          0,          0,          0,          0,       1345,         92,        331,        420,        280,        106,       1243,        306,          8,          1,          8,          0,          0,          0,       1555,        158,         48,         90,       6048
