   time in kHS23-Hrs by BySite     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR_CBPF,    126.241,     10.425,      0.264,      3.162,      2.597,     78.999,     15.058,    380.139,    108.910,     67.467,      0.635,      5.745,   799.642
CA_SFU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.012,      0.012,      0.543,     0.566
CA_Victoria,    331.119,     34.934,      0.017,      0.000,      0.000,      0.000,     51.011,    415.744,     62.861,      9.864,     21.101,     25.278,   951.930
CERN,   3616.162,    643.410,    595.354,     78.106,    116.599,    570.373,    447.769,   6592.062,    374.076,    376.026,     68.444,    277.924, 13756.306
CH_UNIBE-LHEP,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.069,      1.993,     2.062
CZ_FZU,   1308.856,    163.279,    234.090,      8.872,      0.000,      5.989,     24.948,   1161.420,      1.785,      0.319,     60.172,    421.850,  3391.579
ES_CIEMAT,     34.213,      0.000,      0.000,      0.000,      0.000,      0.225,     20.180,    227.536,      0.412,      0.289,      0.675,      0.119,   283.649
ES_PIC,    916.944,    244.596,    187.856,     15.445,     37.674,    581.496,    153.001,   1768.733,    184.007,     53.427,     80.085,    159.518,  4382.780
FR_CCIN2P3,     29.715,      0.038,      0.244,     11.586,     58.736,    239.585,     22.341,    634.084,     47.589,      0.981,      7.690,     80.410,  1132.998
IN_TIFR,   2433.353,    181.027,    382.633,    130.978,      0.000,    396.841,    159.441,   1302.876,     58.934,     60.969,     12.048,      6.349,  5125.447
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
NL_NIKHEF,    221.161,    299.108,     31.917,      7.412,      0.700,    550.213,     26.755,    949.662,    195.563,     40.108,    168.678,   1019.583,  3510.862
NL_SURFsara,   4523.357,      8.705,    811.042,     18.004,     44.237,   1457.272,    274.721,   4133.569,     67.866,     33.701,    135.008,    963.284, 12470.767
RU_JINR,     51.654,    168.652,      0.000,      8.683,      0.052,    199.672,      8.129,    238.483,    201.125,     19.762,      0.391,      5.886,   902.490
UK_Bristol,   2882.056,    292.615,     57.077,     28.456,      0.812,    215.461,    129.526,    736.031,     99.598,     52.929,    130.734,     98.301,  4723.595
UK_Brunel,    728.789,      0.007,      0.000,      0.000,      0.000,      0.000,      0.000,    189.630,    112.558,     58.424,    124.152,    164.218,  1377.779
