   time in kHS23-Hrs by BySite     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,Total
BR_CBPF,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2
CA_SFU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CA_Victoria,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1
CERN,          0,          1,          0,          0,          0,          0,          0,          0,          6,          0,          0,          0,         31,          3,         42
CH_UNIBE-LHEP,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CZ_FZU,          0,          0,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,        118,         10,        131
ES_CIEMAT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
ES_PIC,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          4,         10
FR_CCIN2P3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         14,         15
IN_TIFR,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
IT_CNAF,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
NL_NIKHEF,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          2
NL_SURFsara,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         62,          0,         64
UK_Bristol,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,          0,          5
UK_Brunel,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,          1,          5
UK_Edinburgh,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Imperial,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          3
UK_Lancaster,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Liverpool,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1
UK_Manchester,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         32,          0,         32
UK_Oxford,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,          0,          2
UK_QMUL,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         73,         16,         90
UK_RAL-PPD,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         12,          6,         18
UK_RAL-Tier1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Sheffield,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7,          0,          7
US_BNL,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         34,          2,         37
US_Colorado,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,          1,          6
US_FNAL-FermiGrid,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         42,          9,         52
US_FNAL-T1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,          1,         12
US_Michigan,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_NERSC,         86,         48,        617,        621,        578,        201,          0,          0,         84,          0,          0,          0,          0,       1290,       3527
US_NotreDame,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_PuertoRico,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_SU-ITS,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Swan,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_UCSD,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,          0,          3
US_UChicago,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_UConn-HPC,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2
US_WSU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Wisconsin,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
undefined,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
Total,         86,         53,        620,        624,        580,        201,          0,          0,         95,          0,          0,          2,        453,       1362,       4081
